feature,importance,project
VCC_f10_nb_added_line,0.013833669,wolfssl
VCC_f11_nb_removed_line,0.012683066,wolfssl
VCC_f12_diff_line,0.012265203,wolfssl
VCC_f13_sum_line,0.012479301,wolfssl
VCC_f14_nb_added_paren,0.01594597,wolfssl
VCC_f15_nb_removed_paren,0.011655059,wolfssl
VCC_f16_diff_paren,0.014312664,wolfssl
VCC_f17_sum_paren,0.01326845,wolfssl
VCC_f18_nb_added_bool,0.016365582,wolfssl
VCC_f19_nb_removed_bool,0.0140159195,wolfssl
VCC_f1_sum_file_change,0.010352829,wolfssl
VCC_f20_diff_bool,0.01222785,wolfssl
VCC_f21_sum_bool,0.013560343,wolfssl
VCC_f22_nb_added_assignement,0.016283557,wolfssl
VCC_f23_nb_removed_assignement,0.011262537,wolfssl
VCC_f24_diff_assignement,0.013351694,wolfssl
VCC_f25_sum_assignement,0.016187547,wolfssl
VCC_f26_nb_added_function,0.011872648,wolfssl
VCC_f27_nb_removed_function,0.011529029,wolfssl
VCC_f28_diff_function,0.010455321,wolfssl
VCC_f29_sum_function,0.012486263,wolfssl
VCC_f2_nb_added_loop,0.017391874,wolfssl
VCC_f3_nb_removed_loop,0.012384088,wolfssl
VCC_f4_diff_loop,0.015664868,wolfssl
VCC_f5_sum_loop,0.017255563,wolfssl
VCC_f6_nb_added_if,0.018932987,wolfssl
VCC_f7_nb_removed_if,0.011552689,wolfssl
VCC_f8_diff_if,0.017381264,wolfssl
VCC_f9_sum_if,0.014847922,wolfssl
VCC_s10_nb_removed_INTMAX,0.00030685385,wolfssl
VCC_s11_nb_added_goto,0.01844224,wolfssl
VCC_s12_nb_removed_goto,0.011141219,wolfssl
VCC_s13_nb_added_define,0.010578047,wolfssl
VCC_s14_nb_removed_define,0.009840434,wolfssl
VCC_s15_nb_added_struct,0.01121302,wolfssl
VCC_s16_nb_removed_struct,0.0101020895,wolfssl
VCC_s17_diff_struct,0.010178829,wolfssl
VCC_s18_sum_struct,0.010630593,wolfssl
VCC_s19_nb_added_offset,0.010765145,wolfssl
VCC_s1_nb_added_sizeof,0.026690496,wolfssl
VCC_s20_nb_removed_offset,0.01011206,wolfssl
VCC_s21_nb_added_void,0.01206933,wolfssl
VCC_s22_nb_removed_void,0.012198629,wolfssl
VCC_s23_diff_void,0.011278185,wolfssl
VCC_s24_sum_void,0.012263085,wolfssl
VCC_s2_nb_removed_sizeof,0.009959591,wolfssl
VCC_s3_diff_sizeof,0.015965858,wolfssl
VCC_s4_sum_sizeof,0.022154795,wolfssl
VCC_s5_nb_added_continue,0.010358131,wolfssl
VCC_s6_nb_removed_continue,0.01280638,wolfssl
VCC_s7_nb_added_break,0.015434129,wolfssl
VCC_s8_nb_removed_break,0.012592015,wolfssl
VCC_s9_nb_added_INTMAX,0.0019144786,wolfssl
VCC_w1,0.011763685,wolfssl
VCC_w10,0.011963252,wolfssl
VCC_w2,0.011293843,wolfssl
VCC_w3,0.01182519,wolfssl
VCC_w4,0.013803054,wolfssl
VCC_w5,0.012005844,wolfssl
VCC_w6,0.011757671,wolfssl
VCC_w7,0.014515434,wolfssl
VCC_w8,0.012828454,wolfssl
VCC_w9,0.011135237,wolfssl
patch_coverage_recalculated,0.036895502,wolfssl
project_total_branch_percent,0.011736779,wolfssl
project_total_branch_percent_delta,0.0143380035,wolfssl
project_total_function_percent,0.0141072385,wolfssl
project_total_function_percent_delta,0.012536364,wolfssl
project_total_instantiation_percent,0.017516512,wolfssl
project_total_instantiation_percent_delta,0.016031533,wolfssl
project_total_line_percent,0.014983092,wolfssl
project_total_line_percent_delta,0.0151577005,wolfssl
project_total_region_percent,0.014915056,wolfssl
project_total_region_percent_delta,0.018089175,wolfssl
