Metric,Value,project,model
MCC,0.10556165616973666,arrow/cross_project/exclude_target,XGBoost
AUC_ROC,0.8716684921504197,arrow/cross_project/exclude_target,XGBoost
Accuracy,0.7024584717607973,arrow/cross_project/exclude_target,XGBoost
Precision,0.02166346952470515,arrow/cross_project/exclude_target,XGBoost
Recall,0.8545454545454546,arrow/cross_project/exclude_target,XGBoost
F1-Score,0.04219784356132083,arrow/cross_project/exclude_target,XGBoost
PR_AUC,0.11975761936922624,arrow/cross_project/exclude_target,XGBoost
MCC,0.18720592869551614,c-blosc2/cross_project/exclude_target,XGBoost
AUC_ROC,0.7185658914728683,c-blosc2/cross_project/exclude_target,XGBoost
Accuracy,0.7901098901098903,c-blosc2/cross_project/exclude_target,XGBoost
Precision,0.1375474559550022,c-blosc2/cross_project/exclude_target,XGBoost
Recall,0.5299999999999999,c-blosc2/cross_project/exclude_target,XGBoost
F1-Score,0.21761745207521024,c-blosc2/cross_project/exclude_target,XGBoost
PR_AUC,0.22910995319655,c-blosc2/cross_project/exclude_target,XGBoost
MCC,0.17809789250198416,ghostscript/cross_project/exclude_target,XGBoost
AUC_ROC,0.7335058793456034,ghostscript/cross_project/exclude_target,XGBoost
Accuracy,0.7384285714285712,ghostscript/cross_project/exclude_target,XGBoost
Precision,0.1463099150985296,ghostscript/cross_project/exclude_target,XGBoost
Recall,0.5527777777777778,ghostscript/cross_project/exclude_target,XGBoost
F1-Score,0.22776807776708916,ghostscript/cross_project/exclude_target,XGBoost
PR_AUC,0.17941427947229102,ghostscript/cross_project/exclude_target,XGBoost
MCC,0.12943374277605948,harfbuzz/cross_project/exclude_target,XGBoost
AUC_ROC,0.7064892623716154,harfbuzz/cross_project/exclude_target,XGBoost
Accuracy,0.6011646207113629,harfbuzz/cross_project/exclude_target,XGBoost
Precision,0.08253101228967381,harfbuzz/cross_project/exclude_target,XGBoost
Recall,0.6915032679738563,harfbuzz/cross_project/exclude_target,XGBoost
F1-Score,0.14564658738181963,harfbuzz/cross_project/exclude_target,XGBoost
PR_AUC,0.1081493308939309,harfbuzz/cross_project/exclude_target,XGBoost
MCC,0.11128965714988982,icu/cross_project/exclude_target,XGBoost
AUC_ROC,0.7212656249999999,icu/cross_project/exclude_target,XGBoost
Accuracy,0.8817948717948717,icu/cross_project/exclude_target,XGBoost
Precision,0.056212215435629265,icu/cross_project/exclude_target,XGBoost
