Metric,Value,project,model
MCC,0.06678940750023124,arrow/cross_project/exclude_target,XGBoost
AUC_ROC,0.7702750395521478,arrow/cross_project/exclude_target,XGBoost
Accuracy,0.626312292358804,arrow/cross_project/exclude_target,XGBoost
Precision,0.014600418640762867,arrow/cross_project/exclude_target,XGBoost
Recall,0.7515151515151516,arrow/cross_project/exclude_target,XGBoost
F1-Score,0.028611313857884083,arrow/cross_project/exclude_target,XGBoost
PR_AUC,0.04671404282156204,arrow/cross_project/exclude_target,XGBoost
MCC,0.12009277866560429,c-blosc2/cross_project/exclude_target,XGBoost
AUC_ROC,0.6609496124031009,c-blosc2/cross_project/exclude_target,XGBoost
Accuracy,0.5717948717948719,c-blosc2/cross_project/exclude_target,XGBoost
Precision,0.08536730051975992,c-blosc2/cross_project/exclude_target,XGBoost
Recall,0.6966666666666669,c-blosc2/cross_project/exclude_target,XGBoost
F1-Score,0.15196220963288437,c-blosc2/cross_project/exclude_target,XGBoost
PR_AUC,0.13289754852548671,c-blosc2/cross_project/exclude_target,XGBoost
MCC,0.06124940131427727,ghostscript/cross_project/exclude_target,XGBoost
AUC_ROC,0.5910787321063395,ghostscript/cross_project/exclude_target,XGBoost
Accuracy,0.5690476190476191,ghostscript/cross_project/exclude_target,XGBoost
Precision,0.08608805157524564,ghostscript/cross_project/exclude_target,XGBoost
Recall,0.5493055555555556,ghostscript/cross_project/exclude_target,XGBoost
F1-Score,0.14864305622431642,ghostscript/cross_project/exclude_target,XGBoost
PR_AUC,0.10206201063921207,ghostscript/cross_project/exclude_target,XGBoost
MCC,0.11775733365044264,harfbuzz/cross_project/exclude_target,XGBoost
AUC_ROC,0.6909657381471109,harfbuzz/cross_project/exclude_target,XGBoost
Accuracy,0.6170601196096946,harfbuzz/cross_project/exclude_target,XGBoost
Precision,0.07921860260991984,harfbuzz/cross_project/exclude_target,XGBoost
Recall,0.6535947712418303,harfbuzz/cross_project/exclude_target,XGBoost
F1-Score,0.14123776551182315,harfbuzz/cross_project/exclude_target,XGBoost
PR_AUC,0.10712865317729116,harfbuzz/cross_project/exclude_target,XGBoost
