model,Metric,Mean_Value,Project_Count
Random,Accuracy,0.947720,15
RandomForest,AUC_ROC,0.736561,15
XGBoost,AUC_ROC,0.724394,15
XGBoost,Recall,0.681761,15
RandomForest,Recall,0.663526,15
RandomForest,Accuracy,0.657456,15
XGBoost,Accuracy,0.636445,15
Random,AUC_ROC,0.499879,15
RandomForest,MCC,0.117018,15
XGBoost,MCC,0.112587,15
XGBoost,PR_AUC,0.111374,15
RandomForest,F1-Score,0.110800,15
XGBoost,F1-Score,0.106678,15
RandomForest,PR_AUC,0.104236,15
RandomForest,Precision,0.063954,15
XGBoost,Precision,0.060870,15
Random,PR_AUC,0.032601,15
Random,Precision,0.029816,15
Random,Recall,0.022288,15
Random,F1-Score,0.021655,15
Random,MCC,-0.000635,15
