model,Metric,Mean_Value,Project_Count
Random,Accuracy,0.947720,15
RandomForest,AUC_ROC,0.660071,15
RandomForest,Recall,0.655409,15
XGBoost,AUC_ROC,0.646990,15
XGBoost,Recall,0.610604,15
XGBoost,Accuracy,0.588691,15
RandomForest,Accuracy,0.565512,15
Random,AUC_ROC,0.499879,15
RandomForest,F1-Score,0.086056,15
XGBoost,F1-Score,0.083729,15
RandomForest,MCC,0.075599,15
XGBoost,MCC,0.068542,15
XGBoost,PR_AUC,0.064202,15
RandomForest,PR_AUC,0.063177,15
RandomForest,Precision,0.049562,15
XGBoost,Precision,0.048399,15
Random,PR_AUC,0.032601,15
Random,Precision,0.029816,15
Random,Recall,0.022288,15
Random,F1-Score,0.021655,15
Random,MCC,-0.000635,15
