Metric,Value,project,model
MCC,0.09358913828956167,poppler/cross_project/exclude_target,XGBoost
AUC_ROC,0.7000218531468531,poppler/cross_project/exclude_target,XGBoost
Accuracy,0.7761904761904763,poppler/cross_project/exclude_target,XGBoost
Precision,0.05370219138684252,poppler/cross_project/exclude_target,XGBoost
Recall,0.4606060606060606,poppler/cross_project/exclude_target,XGBoost
F1-Score,0.09565680033865948,poppler/cross_project/exclude_target,XGBoost
PR_AUC,0.10383902292212378,poppler/cross_project/exclude_target,XGBoost
MCC,0.05697402499363776,serenity/cross_project/exclude_target,XGBoost
AUC_ROC,0.6358686814603288,serenity/cross_project/exclude_target,XGBoost
Accuracy,0.38074298711144816,serenity/cross_project/exclude_target,XGBoost
Precision,0.02559986460826377,serenity/cross_project/exclude_target,XGBoost
Recall,0.8205128205128206,serenity/cross_project/exclude_target,XGBoost
F1-Score,0.04961255731277581,serenity/cross_project/exclude_target,XGBoost
PR_AUC,0.037684877831137026,serenity/cross_project/exclude_target,XGBoost
MCC,0.03331943447090311,wireshark/cross_project/exclude_target,XGBoost
AUC_ROC,0.6607359550561795,wireshark/cross_project/exclude_target,XGBoost
Accuracy,0.28658028690421106,wireshark/cross_project/exclude_target,XGBoost
Precision,0.013836649960480651,wireshark/cross_project/exclude_target,XGBoost
Recall,0.8600000000000001,wireshark/cross_project/exclude_target,XGBoost
F1-Score,0.027232942138794448,wireshark/cross_project/exclude_target,XGBoost
PR_AUC,0.03520296392061977,wireshark/cross_project/exclude_target,XGBoost
MCC,0.060374795633969566,wolfssl/cross_project/exclude_target,XGBoost
AUC_ROC,0.7957505995203836,wolfssl/cross_project/exclude_target,XGBoost
Accuracy,0.4990476190476191,wolfssl/cross_project/exclude_target,XGBoost
Precision,0.012222881743188122,wolfssl/cross_project/exclude_target,XGBoost
Recall,0.8599999999999999,wolfssl/cross_project/exclude_target,XGBoost
F1-Score,0.024099625317593305,wolfssl/cross_project/exclude_target,XGBoost
PR_AUC,0.07311120523295352,wolfssl/cross_project/exclude_target,XGBoost
MCC,0.14865846591924753,arrow/cross_project/exclude_target,RandomForest
AUC_ROC,0.9111293659486429,arrow/cross_project/exclude_target,RandomForest
Accuracy,0.8378959025470653,arrow/cross_project/exclude_target,RandomForest
Precision,0.03722548894889224,arrow/cross_project/exclude_target,RandomForest
Recall,0.7969696969696971,arrow/cross_project/exclude_target,RandomForest
F1-Score,0.07070744524306279,arrow/cross_project/exclude_target,RandomForest
PR_AUC,0.09617944221433916,arrow/cross_project/exclude_target,RandomForest
MCC,0.19006287736830332,c-blosc2/cross_project/exclude_target,RandomForest
AUC_ROC,0.7488275193798449,c-blosc2/cross_project/exclude_target,RandomForest
Accuracy,0.761172161172161,c-blosc2/cross_project/exclude_target,RandomForest
Precision,0.13130689277157395,c-blosc2/cross_project/exclude_target,RandomForest
Recall,0.5866666666666666,c-blosc2/cross_project/exclude_target,RandomForest
F1-Score,0.2140507793825577,c-blosc2/cross_project/exclude_target,RandomForest
PR_AUC,0.24122152910516353,c-blosc2/cross_project/exclude_target,RandomForest
MCC,0.19163498019353783,ghostscript/cross_project/exclude_target,RandomForest
AUC_ROC,0.7331187159168373,ghostscript/cross_project/exclude_target,RandomForest
Accuracy,0.6828571428571428,ghostscript/cross_project/exclude_target,RandomForest
Precision,0.13619622886433966,ghostscript/cross_project/exclude_target,RandomForest
Recall,0.6749999999999999,ghostscript/cross_project/exclude_target,RandomForest
F1-Score,0.22635409052581235,ghostscript/cross_project/exclude_target,RandomForest
PR_AUC,0.16802764783612786,ghostscript/cross_project/exclude_target,RandomForest
MCC,0.15379787868622022,harfbuzz/cross_project/exclude_target,RandomForest
AUC_ROC,0.7482817200954455,harfbuzz/cross_project/exclude_target,RandomForest
Accuracy,0.5325779036827195,harfbuzz/cross_project/exclude_target,RandomForest
Precision,0.08159516350029672,harfbuzz/cross_project/exclude_target,RandomForest
Recall,0.8398692810457518,harfbuzz/cross_project/exclude_target,RandomForest
F1-Score,0.14857235841932231,harfbuzz/cross_project/exclude_target,RandomForest
PR_AUC,0.12685735994411437,harfbuzz/cross_project/exclude_target,RandomForest
MCC,0.12964692169567948,icu/cross_project/exclude_target,RandomForest
AUC_ROC,0.7999973958333333,icu/cross_project/exclude_target,RandomForest
Accuracy,0.8484102564102565,icu/cross_project/exclude_target,RandomForest
Precision,0.05341051225890406,icu/cross_project/exclude_target,RandomForest
Recall,0.5233333333333333,icu/cross_project/exclude_target,RandomForest
F1-Score,0.09674532120955043,icu/cross_project/exclude_target,RandomForest
PR_AUC,0.09468314605689623,icu/cross_project/exclude_target,RandomForest
MCC,0.10284120497216481,libjxl/cross_project/exclude_target,RandomForest
AUC_ROC,0.7246666666666665,libjxl/cross_project/exclude_target,RandomForest
Accuracy,0.7875080906148867,libjxl/cross_project/exclude_target,RandomForest
Precision,0.04706113278026394,libjxl/cross_project/exclude_target,RandomForest
Recall,0.51,libjxl/cross_project/exclude_target,RandomForest
F1-Score,0.08608642306223376,libjxl/cross_project/exclude_target,RandomForest
PR_AUC,0.05710969994159049,libjxl/cross_project/exclude_target,RandomForest
MCC,0.19395269975789667,libxml2/cross_project/exclude_target,RandomForest
AUC_ROC,0.7330827067669172,libxml2/cross_project/exclude_target,RandomForest
Accuracy,0.6515151515151516,libxml2/cross_project/exclude_target,RandomForest
Precision,0.13644940949478826,libxml2/cross_project/exclude_target,RandomForest
Recall,0.7157894736842106,libxml2/cross_project/exclude_target,RandomForest
F1-Score,0.2286367060054176,libxml2/cross_project/exclude_target,RandomForest
PR_AUC,0.21137474058954536,libxml2/cross_project/exclude_target,RandomForest
MCC,0.08489373926345083,mruby/cross_project/exclude_target,RandomForest
AUC_ROC,0.6422765210105695,mruby/cross_project/exclude_target,RandomForest
Accuracy,0.8580628930817612,mruby/cross_project/exclude_target,RandomForest
Precision,0.058339936147548614,mruby/cross_project/exclude_target,RandomForest
Recall,0.31354166666666666,mruby/cross_project/exclude_target,RandomForest
F1-Score,0.09786217872994779,mruby/cross_project/exclude_target,RandomForest
PR_AUC,0.09178992254517748,mruby/cross_project/exclude_target,RandomForest
MCC,0.16977988789113974,ndpi/cross_project/exclude_target,RandomForest
AUC_ROC,0.7375818516394227,ndpi/cross_project/exclude_target,RandomForest
Accuracy,0.6611602753195672,ndpi/cross_project/exclude_target,RandomForest
Precision,0.12214961376134406,ndpi/cross_project/exclude_target,RandomForest
Recall,0.6651515151515153,ndpi/cross_project/exclude_target,RandomForest
F1-Score,0.20524438542022852,ndpi/cross_project/exclude_target,RandomForest
PR_AUC,0.19079275414057933,ndpi/cross_project/exclude_target,RandomForest
MCC,0.07244115777259051,openthread/cross_project/exclude_target,RandomForest
AUC_ROC,0.7174939003757727,openthread/cross_project/exclude_target,RandomForest
Accuracy,0.48908765652951697,openthread/cross_project/exclude_target,RandomForest
Precision,0.023883431574116584,openthread/cross_project/exclude_target,RandomForest
Recall,0.8098039215686276,openthread/cross_project/exclude_target,RandomForest
F1-Score,0.046383288751273725,openthread/cross_project/exclude_target,RandomForest
PR_AUC,0.042655439333010504,openthread/cross_project/exclude_target,RandomForest
MCC,0.07741304519163218,php/cross_project/exclude_target,RandomForest
AUC_ROC,0.7350010769562142,php/cross_project/exclude_target,RandomForest
Accuracy,0.6503233700402027,php/cross_project/exclude_target,RandomForest
Precision,0.023646956925013552,php/cross_project/exclude_target,RandomForest
Recall,0.6869565217391305,php/cross_project/exclude_target,RandomForest
F1-Score,0.045695255446149205,php/cross_project/exclude_target,RandomForest
PR_AUC,0.05397128256079073,php/cross_project/exclude_target,RandomForest
MCC,0.06497698454238864,poppler/cross_project/exclude_target,RandomForest
AUC_ROC,0.705871212121212,poppler/cross_project/exclude_target,RandomForest
Accuracy,0.8501951600312254,poppler/cross_project/exclude_target,RandomForest
Precision,0.05259613315940423,poppler/cross_project/exclude_target,RandomForest
Recall,0.27272727272727265,poppler/cross_project/exclude_target,RandomForest
F1-Score,0.08751336358449699,poppler/cross_project/exclude_target,RandomForest
PR_AUC,0.07633901241821325,poppler/cross_project/exclude_target,RandomForest
MCC,0.0808669845090925,serenity/cross_project/exclude_target,RandomForest
AUC_ROC,0.6960224681222361,serenity/cross_project/exclude_target,RandomForest
Accuracy,0.4147839272175891,serenity/cross_project/exclude_target,RandomForest
Precision,0.028937627975766288,serenity/cross_project/exclude_target,RandomForest
Recall,0.873076923076923,serenity/cross_project/exclude_target,RandomForest
F1-Score,0.055964158678511046,serenity/cross_project/exclude_target,RandomForest
PR_AUC,0.04112358683030578,serenity/cross_project/exclude_target,RandomForest
MCC,0.02882359242182908,wireshark/cross_project/exclude_target,RandomForest
AUC_ROC,0.6404475655430711,wireshark/cross_project/exclude_target,RandomForest
Accuracy,0.320191269474009,wireshark/cross_project/exclude_target,RandomForest
Precision,0.013667705144081619,wireshark/cross_project/exclude_target,RandomForest
Recall,0.8106666666666666,wireshark/cross_project/exclude_target,RandomForest
F1-Score,0.026881464194870072,wireshark/cross_project/exclude_target,RandomForest
PR_AUC,0.023304614447875068,wireshark/cross_project/exclude_target,RandomForest
MCC,0.06547991482393703,wolfssl/cross_project/exclude_target,RandomForest
AUC_ROC,0.7746199040767385,wolfssl/cross_project/exclude_target,RandomForest
Accuracy,0.5160952380952382,wolfssl/cross_project/exclude_target,RandomForest
Precision,0.012839772685415009,wolfssl/cross_project/exclude_target,RandomForest
Recall,0.8733333333333332,wolfssl/cross_project/exclude_target,RandomForest
F1-Score,0.025303906352955995,wolfssl/cross_project/exclude_target,RandomForest
PR_AUC,0.04810620908831821,wolfssl/cross_project/exclude_target,RandomForest
MCC,-0.0017353046284844817,arrow/cross_project/exclude_target,Random
AUC_ROC,0.498435154760456,arrow/cross_project/exclude_target,Random
Accuracy,0.9686821705426356,arrow/cross_project/exclude_target,Random
Precision,0.006374802225709982,arrow/cross_project/exclude_target,Random
Recall,0.021212121212121213,arrow/cross_project/exclude_target,Random
F1-Score,0.009751272985774332,arrow/cross_project/exclude_target,Random
PR_AUC,0.007733458815042395,arrow/cross_project/exclude_target,Random
MCC,0.01147299942161402,c-blosc2/cross_project/exclude_target,Random
AUC_ROC,0.5027906976744186,c-blosc2/cross_project/exclude_target,Random
Accuracy,0.9236263736263735,c-blosc2/cross_project/exclude_target,Random
Precision,0.07698412698412697,c-blosc2/cross_project/exclude_target,Random
Recall,0.030000000000000002,c-blosc2/cross_project/exclude_target,Random
F1-Score,0.04198628169216404,c-blosc2/cross_project/exclude_target,Random
PR_AUC,0.06266178266178266,c-blosc2/cross_project/exclude_target,Random
MCC,-0.016118531006837553,ghostscript/cross_project/exclude_target,Random
AUC_ROC,0.4956373551465575,ghostscript/cross_project/exclude_target,Random
Accuracy,0.9137142857142855,ghostscript/cross_project/exclude_target,Random
Precision,0.03857910063792416,ghostscript/cross_project/exclude_target,Random
Recall,0.011111111111111108,ghostscript/cross_project/exclude_target,Random
F1-Score,0.01712179733968079,ghostscript/cross_project/exclude_target,Random
PR_AUC,0.06885835311202958,ghostscript/cross_project/exclude_target,Random
MCC,-0.007208314396054308,harfbuzz/cross_project/exclude_target,Random
AUC_ROC,0.4975130329909742,harfbuzz/cross_project/exclude_target,Random
Accuracy,0.9335221907459866,harfbuzz/cross_project/exclude_target,Random
Precision,0.037950573051416595,harfbuzz/cross_project/exclude_target,Random
Recall,0.01503267973856209,harfbuzz/cross_project/exclude_target,Random
F1-Score,0.021391335107877225,harfbuzz/cross_project/exclude_target,Random
PR_AUC,0.04888660152509723,harfbuzz/cross_project/exclude_target,Random
MCC,-0.006735631263732675,icu/cross_project/exclude_target,Random
AUC_ROC,0.49611979166666664,icu/cross_project/exclude_target,Random
Accuracy,0.964051282051282,icu/cross_project/exclude_target,Random
Precision,0.009477218687745004,icu/cross_project/exclude_target,Random
Recall,0.013333333333333334,icu/cross_project/exclude_target,Random
F1-Score,0.011005482107431134,icu/cross_project/exclude_target,Random
PR_AUC,0.016127209048261683,icu/cross_project/exclude_target,Random
MCC,-0.003033534660787515,libjxl/cross_project/exclude_target,Random
AUC_ROC,0.4975742574257425,libjxl/cross_project/exclude_target,Random
Accuracy,0.9598058252427183,libjxl/cross_project/exclude_target,Random
Precision,0.01862026862026862,libjxl/cross_project/exclude_target,Random
Recall,0.016666666666666666,libjxl/cross_project/exclude_target,Random
F1-Score,0.016908212560386476,libjxl/cross_project/exclude_target,Random
PR_AUC,0.02095587799471294,libjxl/cross_project/exclude_target,Random
MCC,0.003932738370434956,libxml2/cross_project/exclude_target,Random
AUC_ROC,0.5011851056211959,libxml2/cross_project/exclude_target,Random
Accuracy,0.9077020202020203,libxml2/cross_project/exclude_target,Random
Precision,0.07814814814814813,libxml2/cross_project/exclude_target,Random
Recall,0.026315789473684206,libxml2/cross_project/exclude_target,Random
F1-Score,0.03854993751767946,libxml2/cross_project/exclude_target,Random
PR_AUC,0.07519132427027161,libxml2/cross_project/exclude_target,Random
MCC,-0.0016017935080782943,mruby/cross_project/exclude_target,Random
AUC_ROC,0.49921532611497804,mruby/cross_project/exclude_target,Random
Accuracy,0.9544905660377357,mruby/cross_project/exclude_target,Random
Precision,0.02252220240879727,mruby/cross_project/exclude_target,Random
Recall,0.020833333333333332,mruby/cross_project/exclude_target,Random
F1-Score,0.021557611083318686,mruby/cross_project/exclude_target,Random
PR_AUC,0.02462757086060795,mruby/cross_project/exclude_target,Random
MCC,-0.00842450665653867,ndpi/cross_project/exclude_target,Random
AUC_ROC,0.49771771341171966,ndpi/cross_project/exclude_target,Random
Accuracy,0.9176499508357916,ndpi/cross_project/exclude_target,Random
Precision,0.04895207518659531,ndpi/cross_project/exclude_target,Random
Recall,0.01515151515151515,ndpi/cross_project/exclude_target,Random
F1-Score,0.022997456559229364,ndpi/cross_project/exclude_target,Random
PR_AUC,0.06601397358220319,ndpi/cross_project/exclude_target,Random
MCC,0.009533495369313295,openthread/cross_project/exclude_target,Random
AUC_ROC,0.505525280048441,openthread/cross_project/exclude_target,Random
Accuracy,0.9633571854502087,openthread/cross_project/exclude_target,Random
Precision,0.023287495916299156,openthread/cross_project/exclude_target,Random
Recall,0.03333333333333333,openthread/cross_project/exclude_target,Random
F1-Score,0.0272781036769076,openthread/cross_project/exclude_target,Random
PR_AUC,0.016505605354990592,openthread/cross_project/exclude_target,Random
MCC,-0.005309452121762039,php/cross_project/exclude_target,Random
AUC_ROC,0.4963548878427028,php/cross_project/exclude_target,Random
Accuracy,0.963765076035658,php/cross_project/exclude_target,Random
Precision,0.008265016137433029,php/cross_project/exclude_target,Random
Recall,0.017391304347826084,php/cross_project/exclude_target,Random
F1-Score,0.01116317350875922,php/cross_project/exclude_target,Random
PR_AUC,0.012326959649375495,php/cross_project/exclude_target,Random
MCC,0.005550682371372815,poppler/cross_project/exclude_target,Random
AUC_ROC,0.5026187354312355,poppler/cross_project/exclude_target,Random
Accuracy,0.9534738485558155,poppler/cross_project/exclude_target,Random
Precision,0.032537647537647534,poppler/cross_project/exclude_target,Random
Recall,0.02727272727272727,poppler/cross_project/exclude_target,Random
F1-Score,0.028266521934714153,poppler/cross_project/exclude_target,Random
PR_AUC,0.028420556371376048,poppler/cross_project/exclude_target,Random
MCC,0.009091588181685512,serenity/cross_project/exclude_target,Random
AUC_ROC,0.5053622067543182,serenity/cross_project/exclude_target,Random
Accuracy,0.9587819054839525,serenity/cross_project/exclude_target,Random
Precision,0.027192898571044236,serenity/cross_project/exclude_target,Random
Recall,0.03333333333333333,serenity/cross_project/exclude_target,Random
F1-Score,0.02980170866224509,serenity/cross_project/exclude_target,Random
PR_AUC,0.020912439562452582,serenity/cross_project/exclude_target,Random
MCC,-0.003906824087257116,wireshark/cross_project/exclude_target,Random
AUC_ROC,0.4974063670411986,wireshark/cross_project/exclude_target,Random
Accuracy,0.9637667746413697,wireshark/cross_project/exclude_target,Random
Precision,0.0086966470099461,wireshark/cross_project/exclude_target,Random
Recall,0.020000000000000004,wireshark/cross_project/exclude_target,Random
F1-Score,0.012097089434294876,wireshark/cross_project/exclude_target,Random
PR_AUC,0.011771209014707839,wireshark/cross_project/exclude_target,Random
MCC,0.00496018443267832,wolfssl/cross_project/exclude_target,Random
AUC_ROC,0.504736211031175,wolfssl/cross_project/exclude_target,Random
Accuracy,0.9694047619047618,wolfssl/cross_project/exclude_target,Random
Precision,0.00965920559860722,wolfssl/cross_project/exclude_target,Random
Recall,0.03333333333333333,wolfssl/cross_project/exclude_target,Random
F1-Score,0.014942208199635647,wolfssl/cross_project/exclude_target,Random
PR_AUC,0.008029412623352784,wolfssl/cross_project/exclude_target,Random
