feature,importance,project,model
age,0.072853364,arrow/cross_project/exclude_target,XGBoost
directories_changed,0.07923365,arrow/cross_project/exclude_target,XGBoost
entropy,0.06264963,arrow/cross_project/exclude_target,XGBoost
exp,0.067411184,arrow/cross_project/exclude_target,XGBoost
files_changed,0.072489835,arrow/cross_project/exclude_target,XGBoost
is_bug_fix,0.062132172,arrow/cross_project/exclude_target,XGBoost
lines_added,0.068990834,arrow/cross_project/exclude_target,XGBoost
lines_deleted,0.06435641,arrow/cross_project/exclude_target,XGBoost
ndev,0.07925722,arrow/cross_project/exclude_target,XGBoost
nuc,0.068634726,arrow/cross_project/exclude_target,XGBoost
rexp,0.070939586,arrow/cross_project/exclude_target,XGBoost
sexp,0.068943955,arrow/cross_project/exclude_target,XGBoost
subsystems_changed,0.08140091,arrow/cross_project/exclude_target,XGBoost
total_prev_loc,0.08070653,arrow/cross_project/exclude_target,XGBoost
age,0.070437655,c-blosc2/cross_project/exclude_target,XGBoost
directories_changed,0.090963036,c-blosc2/cross_project/exclude_target,XGBoost
entropy,0.06338202,c-blosc2/cross_project/exclude_target,XGBoost
exp,0.069294006,c-blosc2/cross_project/exclude_target,XGBoost
files_changed,0.07069724,c-blosc2/cross_project/exclude_target,XGBoost
is_bug_fix,0.06037983,c-blosc2/cross_project/exclude_target,XGBoost
lines_added,0.06304227,c-blosc2/cross_project/exclude_target,XGBoost
lines_deleted,0.06313033,c-blosc2/cross_project/exclude_target,XGBoost
ndev,0.07314239,c-blosc2/cross_project/exclude_target,XGBoost
nuc,0.066707574,c-blosc2/cross_project/exclude_target,XGBoost
rexp,0.07382108,c-blosc2/cross_project/exclude_target,XGBoost
sexp,0.06817646,c-blosc2/cross_project/exclude_target,XGBoost
subsystems_changed,0.086275235,c-blosc2/cross_project/exclude_target,XGBoost
total_prev_loc,0.08055088,c-blosc2/cross_project/exclude_target,XGBoost
age,0.07503447,ghostscript/cross_project/exclude_target,XGBoost
directories_changed,0.09007963,ghostscript/cross_project/exclude_target,XGBoost
entropy,0.06410969,ghostscript/cross_project/exclude_target,XGBoost
exp,0.063271776,ghostscript/cross_project/exclude_target,XGBoost
files_changed,0.07338514,ghostscript/cross_project/exclude_target,XGBoost
is_bug_fix,0.06145353,ghostscript/cross_project/exclude_target,XGBoost
lines_added,0.06525623,ghostscript/cross_project/exclude_target,XGBoost
lines_deleted,0.0625454,ghostscript/cross_project/exclude_target,XGBoost
ndev,0.08088686,ghostscript/cross_project/exclude_target,XGBoost
nuc,0.06627644,ghostscript/cross_project/exclude_target,XGBoost
rexp,0.077872716,ghostscript/cross_project/exclude_target,XGBoost
sexp,0.06682182,ghostscript/cross_project/exclude_target,XGBoost
subsystems_changed,0.07706489,ghostscript/cross_project/exclude_target,XGBoost
total_prev_loc,0.07594143,ghostscript/cross_project/exclude_target,XGBoost
age,0.0706481,harfbuzz/cross_project/exclude_target,XGBoost
directories_changed,0.07762356,harfbuzz/cross_project/exclude_target,XGBoost
entropy,0.064531796,harfbuzz/cross_project/exclude_target,XGBoost
exp,0.07013546,harfbuzz/cross_project/exclude_target,XGBoost
files_changed,0.0706518,harfbuzz/cross_project/exclude_target,XGBoost
is_bug_fix,0.06390703,harfbuzz/cross_project/exclude_target,XGBoost
lines_added,0.063961826,harfbuzz/cross_project/exclude_target,XGBoost
lines_deleted,0.066612676,harfbuzz/cross_project/exclude_target,XGBoost
ndev,0.07528181,harfbuzz/cross_project/exclude_target,XGBoost
nuc,0.06811856,harfbuzz/cross_project/exclude_target,XGBoost
rexp,0.0738225,harfbuzz/cross_project/exclude_target,XGBoost
sexp,0.070839696,harfbuzz/cross_project/exclude_target,XGBoost
subsystems_changed,0.082047306,harfbuzz/cross_project/exclude_target,XGBoost
total_prev_loc,0.08181789,harfbuzz/cross_project/exclude_target,XGBoost
age,0.07207561,icu/cross_project/exclude_target,XGBoost
directories_changed,0.082173035,icu/cross_project/exclude_target,XGBoost
entropy,0.062275566,icu/cross_project/exclude_target,XGBoost
exp,0.06804292,icu/cross_project/exclude_target,XGBoost
files_changed,0.07151235,icu/cross_project/exclude_target,XGBoost
is_bug_fix,0.059793178,icu/cross_project/exclude_target,XGBoost
lines_added,0.06263849,icu/cross_project/exclude_target,XGBoost
lines_deleted,0.06445318,icu/cross_project/exclude_target,XGBoost
ndev,0.07483998,icu/cross_project/exclude_target,XGBoost
nuc,0.06897301,icu/cross_project/exclude_target,XGBoost
rexp,0.07456434,icu/cross_project/exclude_target,XGBoost
