feature,importance,project,model
age,0.033265967,arrow/cross_project/exclude_target,XGBoost
directories_changed,0.042422872,arrow/cross_project/exclude_target,XGBoost
entropy,0.032964483,arrow/cross_project/exclude_target,XGBoost
exp,0.033146888,arrow/cross_project/exclude_target,XGBoost
files_changed,0.039087605,arrow/cross_project/exclude_target,XGBoost
is_bug_fix,0.029055415,arrow/cross_project/exclude_target,XGBoost
lines_added,0.03832846,arrow/cross_project/exclude_target,XGBoost
lines_deleted,0.030295657,arrow/cross_project/exclude_target,XGBoost
ndev,0.03964012,arrow/cross_project/exclude_target,XGBoost
nuc,0.031012889,arrow/cross_project/exclude_target,XGBoost
patch_coverage_recalculated,0.09579061,arrow/cross_project/exclude_target,XGBoost
project_total_branch_percent,0.03421599,arrow/cross_project/exclude_target,XGBoost
project_total_branch_percent_delta,0.035694193,arrow/cross_project/exclude_target,XGBoost
project_total_function_percent,0.04057256,arrow/cross_project/exclude_target,XGBoost
project_total_function_percent_delta,0.037030242,arrow/cross_project/exclude_target,XGBoost
project_total_instantiation_percent,0.0408244,arrow/cross_project/exclude_target,XGBoost
project_total_instantiation_percent_delta,0.04361963,arrow/cross_project/exclude_target,XGBoost
project_total_line_percent,0.040815305,arrow/cross_project/exclude_target,XGBoost
project_total_line_percent_delta,0.04441468,arrow/cross_project/exclude_target,XGBoost
project_total_region_percent,0.043778166,arrow/cross_project/exclude_target,XGBoost
project_total_region_percent_delta,0.045853857,arrow/cross_project/exclude_target,XGBoost
rexp,0.037253857,arrow/cross_project/exclude_target,XGBoost
sexp,0.031616334,arrow/cross_project/exclude_target,XGBoost
subsystems_changed,0.043254033,arrow/cross_project/exclude_target,XGBoost
total_prev_loc,0.036045797,arrow/cross_project/exclude_target,XGBoost
age,0.031687137,c-blosc2/cross_project/exclude_target,XGBoost
directories_changed,0.039621305,c-blosc2/cross_project/exclude_target,XGBoost
entropy,0.033516333,c-blosc2/cross_project/exclude_target,XGBoost
exp,0.033382177,c-blosc2/cross_project/exclude_target,XGBoost
