feature,importance,project,model
project_total_line_percent,0.0164615,arrow/cross_project/exclude_target,XGBoost
project_total_line_percent_delta,0.01605453,arrow/cross_project/exclude_target,XGBoost
project_total_region_percent,0.01649849,arrow/cross_project/exclude_target,XGBoost
project_total_region_percent_delta,0.018017393,arrow/cross_project/exclude_target,XGBoost
VCC_f10_nb_added_line,0.014076472,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f11_nb_removed_line,0.012594107,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f12_diff_line,0.012669533,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f13_sum_line,0.012295417,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f14_nb_added_paren,0.016928112,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f15_nb_removed_paren,0.011375586,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f16_diff_paren,0.014140336,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f17_sum_paren,0.013848252,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f18_nb_added_bool,0.015477092,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f19_nb_removed_bool,0.013729969,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f1_sum_file_change,0.011212319,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f20_diff_bool,0.012154459,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f21_sum_bool,0.013631125,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f22_nb_added_assignement,0.018303005,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f23_nb_removed_assignement,0.01115722,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f24_diff_assignement,0.013686314,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f25_sum_assignement,0.01529801,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f26_nb_added_function,0.0117665995,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f27_nb_removed_function,0.011865111,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f28_diff_function,0.01118816,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f29_sum_function,0.01157328,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f2_nb_added_loop,0.017756423,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f3_nb_removed_loop,0.014390512,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f4_diff_loop,0.013207975,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f5_sum_loop,0.017117223,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f6_nb_added_if,0.017573304,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f7_nb_removed_if,0.011084645,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f8_diff_if,0.014293792,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f9_sum_if,0.016280733,c-blosc2/cross_project/exclude_target,XGBoost
VCC_s10_nb_removed_INTMAX,0.0,c-blosc2/cross_project/exclude_target,XGBoost
VCC_s11_nb_added_goto,0.015496244,c-blosc2/cross_project/exclude_target,XGBoost
VCC_s12_nb_removed_goto,0.012076449,c-blosc2/cross_project/exclude_target,XGBoost
VCC_s13_nb_added_define,0.011470408,c-blosc2/cross_project/exclude_target,XGBoost
VCC_s14_nb_removed_define,0.010316583,c-blosc2/cross_project/exclude_target,XGBoost
VCC_s15_nb_added_struct,0.010879581,c-blosc2/cross_project/exclude_target,XGBoost
VCC_s16_nb_removed_struct,0.009153884,c-blosc2/cross_project/exclude_target,XGBoost
VCC_s17_diff_struct,0.010646317,c-blosc2/cross_project/exclude_target,XGBoost
VCC_s18_sum_struct,0.011797714,c-blosc2/cross_project/exclude_target,XGBoost
VCC_s19_nb_added_offset,0.011666749,c-blosc2/cross_project/exclude_target,XGBoost
VCC_s1_nb_added_sizeof,0.020835778,c-blosc2/cross_project/exclude_target,XGBoost
VCC_s20_nb_removed_offset,0.010621401,c-blosc2/cross_project/exclude_target,XGBoost
VCC_s21_nb_added_void,0.012438915,c-blosc2/cross_project/exclude_target,XGBoost
VCC_s22_nb_removed_void,0.014719329,c-blosc2/cross_project/exclude_target,XGBoost
VCC_s23_diff_void,0.010602589,c-blosc2/cross_project/exclude_target,XGBoost
VCC_s24_sum_void,0.013950209,c-blosc2/cross_project/exclude_target,XGBoost
VCC_s2_nb_removed_sizeof,0.012108256,c-blosc2/cross_project/exclude_target,XGBoost
VCC_s3_diff_sizeof,0.014087493,c-blosc2/cross_project/exclude_target,XGBoost
VCC_s4_sum_sizeof,0.015063012,c-blosc2/cross_project/exclude_target,XGBoost
VCC_s5_nb_added_continue,0.012323811,c-blosc2/cross_project/exclude_target,XGBoost
VCC_s6_nb_removed_continue,0.013323273,c-blosc2/cross_project/exclude_target,XGBoost
VCC_s7_nb_added_break,0.014852236,c-blosc2/cross_project/exclude_target,XGBoost
VCC_s8_nb_removed_break,0.011850053,c-blosc2/cross_project/exclude_target,XGBoost
VCC_s9_nb_added_INTMAX,0.001973494,c-blosc2/cross_project/exclude_target,XGBoost
VCC_w1,0.011413739,c-blosc2/cross_project/exclude_target,XGBoost
VCC_w10,0.010642606,c-blosc2/cross_project/exclude_target,XGBoost
VCC_w2,0.011050121,c-blosc2/cross_project/exclude_target,XGBoost
VCC_w3,0.011956031,c-blosc2/cross_project/exclude_target,XGBoost
VCC_w4,0.012994733,c-blosc2/cross_project/exclude_target,XGBoost
VCC_w5,0.011928799,c-blosc2/cross_project/exclude_target,XGBoost
VCC_w6,0.012384962,c-blosc2/cross_project/exclude_target,XGBoost
VCC_w7,0.013025085,c-blosc2/cross_project/exclude_target,XGBoost
VCC_w8,0.013330417,c-blosc2/cross_project/exclude_target,XGBoost
VCC_w9,0.010936132,c-blosc2/cross_project/exclude_target,XGBoost
patch_coverage_recalculated,0.04137708,c-blosc2/cross_project/exclude_target,XGBoost
project_total_branch_percent,0.01233539,c-blosc2/cross_project/exclude_target,XGBoost
project_total_branch_percent_delta,0.015067782,c-blosc2/cross_project/exclude_target,XGBoost
project_total_function_percent,0.014463461,c-blosc2/cross_project/exclude_target,XGBoost
project_total_function_percent_delta,0.015573728,c-blosc2/cross_project/exclude_target,XGBoost
project_total_instantiation_percent,0.016385036,c-blosc2/cross_project/exclude_target,XGBoost
project_total_instantiation_percent_delta,0.018363805,c-blosc2/cross_project/exclude_target,XGBoost
project_total_line_percent,0.015179958,c-blosc2/cross_project/exclude_target,XGBoost
project_total_line_percent_delta,0.016840778,c-blosc2/cross_project/exclude_target,XGBoost
project_total_region_percent,0.015035609,c-blosc2/cross_project/exclude_target,XGBoost
project_total_region_percent_delta,0.016785882,c-blosc2/cross_project/exclude_target,XGBoost
VCC_f10_nb_added_line,0.013350775,ghostscript/cross_project/exclude_target,XGBoost
VCC_f11_nb_removed_line,0.012216597,ghostscript/cross_project/exclude_target,XGBoost
VCC_f12_diff_line,0.012965123,ghostscript/cross_project/exclude_target,XGBoost
VCC_f13_sum_line,0.012690215,ghostscript/cross_project/exclude_target,XGBoost
VCC_f14_nb_added_paren,0.019058792,ghostscript/cross_project/exclude_target,XGBoost
VCC_f15_nb_removed_paren,0.011289417,ghostscript/cross_project/exclude_target,XGBoost
VCC_f16_diff_paren,0.014429357,ghostscript/cross_project/exclude_target,XGBoost
VCC_f17_sum_paren,0.014332146,ghostscript/cross_project/exclude_target,XGBoost
VCC_f18_nb_added_bool,0.017128866,ghostscript/cross_project/exclude_target,XGBoost
VCC_f19_nb_removed_bool,0.014955985,ghostscript/cross_project/exclude_target,XGBoost
VCC_f1_sum_file_change,0.011789268,ghostscript/cross_project/exclude_target,XGBoost
VCC_f20_diff_bool,0.0112694865,ghostscript/cross_project/exclude_target,XGBoost
VCC_f21_sum_bool,0.016632436,ghostscript/cross_project/exclude_target,XGBoost
VCC_f22_nb_added_assignement,0.01332064,ghostscript/cross_project/exclude_target,XGBoost
VCC_f23_nb_removed_assignement,0.010929274,ghostscript/cross_project/exclude_target,XGBoost
VCC_f24_diff_assignement,0.011700501,ghostscript/cross_project/exclude_target,XGBoost
VCC_f25_sum_assignement,0.013503652,ghostscript/cross_project/exclude_target,XGBoost
VCC_f26_nb_added_function,0.011777466,ghostscript/cross_project/exclude_target,XGBoost
VCC_f27_nb_removed_function,0.011242928,ghostscript/cross_project/exclude_target,XGBoost
VCC_f28_diff_function,0.01139498,ghostscript/cross_project/exclude_target,XGBoost
VCC_f29_sum_function,0.013151648,ghostscript/cross_project/exclude_target,XGBoost
VCC_f2_nb_added_loop,0.020884024,ghostscript/cross_project/exclude_target,XGBoost
VCC_f3_nb_removed_loop,0.012756539,ghostscript/cross_project/exclude_target,XGBoost
VCC_f4_diff_loop,0.015119462,ghostscript/cross_project/exclude_target,XGBoost
VCC_f5_sum_loop,0.018433306,ghostscript/cross_project/exclude_target,XGBoost
VCC_f6_nb_added_if,0.016682064,ghostscript/cross_project/exclude_target,XGBoost
VCC_f7_nb_removed_if,0.011493652,ghostscript/cross_project/exclude_target,XGBoost
VCC_f8_diff_if,0.014785229,ghostscript/cross_project/exclude_target,XGBoost
VCC_f9_sum_if,0.015293973,ghostscript/cross_project/exclude_target,XGBoost
VCC_s10_nb_removed_INTMAX,0.00024041177,ghostscript/cross_project/exclude_target,XGBoost
VCC_s11_nb_added_goto,0.014046752,ghostscript/cross_project/exclude_target,XGBoost
