model,Metric,Mean_Value,Project_Count
Random,Accuracy,0.947720,15
RandomForest,AUC_ROC,0.707116,15
XGBoost,AUC_ROC,0.697186,15
RandomForest,Accuracy,0.663046,15
XGBoost,Accuracy,0.642933,15
XGBoost,Recall,0.634340,15
RandomForest,Recall,0.623260,15
Random,AUC_ROC,0.499879,15
RandomForest,F1-Score,0.109974,15
RandomForest,MCC,0.109390,15
XGBoost,F1-Score,0.104384,15
RandomForest,PR_AUC,0.103296,15
XGBoost,MCC,0.102223,15
XGBoost,PR_AUC,0.095225,15
RandomForest,Precision,0.064702,15
XGBoost,Precision,0.060787,15
Random,PR_AUC,0.032601,15
Random,Precision,0.029816,15
Random,Recall,0.022288,15
Random,F1-Score,0.021655,15
Random,MCC,-0.000635,15
