Metric,Value,project,model
MCC,0.10104501254035274,arrow/cross_project/exclude_target,XGBoost
AUC_ROC,0.8712182061579653,arrow/cross_project/exclude_target,XGBoost
Accuracy,0.6833222591362127,arrow/cross_project/exclude_target,XGBoost
Precision,0.02035745335606913,arrow/cross_project/exclude_target,XGBoost
Recall,0.8606060606060605,arrow/cross_project/exclude_target,XGBoost
F1-Score,0.039722727896971,arrow/cross_project/exclude_target,XGBoost
PR_AUC,0.08967337449118205,arrow/cross_project/exclude_target,XGBoost
MCC,0.2146495172630611,c-blosc2/cross_project/exclude_target,XGBoost
AUC_ROC,0.7544186046511627,c-blosc2/cross_project/exclude_target,XGBoost
Accuracy,0.7761904761904763,c-blosc2/cross_project/exclude_target,XGBoost
Precision,0.14488080958883867,c-blosc2/cross_project/exclude_target,XGBoost
Recall,0.6099999999999999,c-blosc2/cross_project/exclude_target,XGBoost
F1-Score,0.23277379995460554,c-blosc2/cross_project/exclude_target,XGBoost
PR_AUC,0.23132402114747738,c-blosc2/cross_project/exclude_target,XGBoost
MCC,0.15045234062784257,ghostscript/cross_project/exclude_target,XGBoost
AUC_ROC,0.7079786554192231,ghostscript/cross_project/exclude_target,XGBoost
Accuracy,0.6452380952380953,ghostscript/cross_project/exclude_target,XGBoost
Precision,0.11885627523690635,ghostscript/cross_project/exclude_target,XGBoost
Recall,0.638888888888889,ghostscript/cross_project/exclude_target,XGBoost
F1-Score,0.19954744651922623,ghostscript/cross_project/exclude_target,XGBoost
PR_AUC,0.16715801878601935,ghostscript/cross_project/exclude_target,XGBoost
MCC,0.09745878725765253,harfbuzz/cross_project/exclude_target,XGBoost
AUC_ROC,0.6413116635543105,harfbuzz/cross_project/exclude_target,XGBoost
Accuracy,0.5268177525967894,harfbuzz/cross_project/exclude_target,XGBoost
Precision,0.06954723234378488,harfbuzz/cross_project/exclude_target,XGBoost
Recall,0.7052287581699347,harfbuzz/cross_project/exclude_target,XGBoost
F1-Score,0.12579053749498476,harfbuzz/cross_project/exclude_target,XGBoost
PR_AUC,0.10776151984619671,harfbuzz/cross_project/exclude_target,XGBoost
MCC,0.07632351367042907,icu/cross_project/exclude_target,XGBoost
AUC_ROC,0.6948229166666667,icu/cross_project/exclude_target,XGBoost
Accuracy,0.7618974358974359,icu/cross_project/exclude_target,XGBoost
Precision,0.03237454983877179,icu/cross_project/exclude_target,XGBoost
Recall,0.4966666666666667,icu/cross_project/exclude_target,XGBoost
F1-Score,0.06069698192252807,icu/cross_project/exclude_target,XGBoost
PR_AUC,0.10259438512316393,icu/cross_project/exclude_target,XGBoost
MCC,0.04871778134859946,libjxl/cross_project/exclude_target,XGBoost
AUC_ROC,0.63386798679868,libjxl/cross_project/exclude_target,XGBoost
Accuracy,0.7467961165048543,libjxl/cross_project/exclude_target,XGBoost
Precision,0.030941158006661734,libjxl/cross_project/exclude_target,XGBoost
Recall,0.4,libjxl/cross_project/exclude_target,XGBoost
F1-Score,0.0573150245978927,libjxl/cross_project/exclude_target,XGBoost
PR_AUC,0.03320072427043868,libjxl/cross_project/exclude_target,XGBoost
MCC,0.12555577617237454,libxml2/cross_project/exclude_target,XGBoost
AUC_ROC,0.7179556032939491,libxml2/cross_project/exclude_target,XGBoost
Accuracy,0.4315656565656566,libxml2/cross_project/exclude_target,XGBoost
Precision,0.09916072460634343,libxml2/cross_project/exclude_target,XGBoost
Recall,0.8333333333333333,libxml2/cross_project/exclude_target,XGBoost
F1-Score,0.17677636574420708,libxml2/cross_project/exclude_target,XGBoost
PR_AUC,0.2572878804131097,libxml2/cross_project/exclude_target,XGBoost
MCC,0.03919781686290639,mruby/cross_project/exclude_target,XGBoost
AUC_ROC,0.5615968999742201,mruby/cross_project/exclude_target,XGBoost
Accuracy,0.7279496855345912,mruby/cross_project/exclude_target,XGBoost
Precision,0.03437522864051987,mruby/cross_project/exclude_target,XGBoost
Recall,0.375,mruby/cross_project/exclude_target,XGBoost
F1-Score,0.06274493465980645,mruby/cross_project/exclude_target,XGBoost
PR_AUC,0.04666956585479531,mruby/cross_project/exclude_target,XGBoost
MCC,0.11378770671737744,ndpi/cross_project/exclude_target,XGBoost
AUC_ROC,0.6718418411241754,ndpi/cross_project/exclude_target,XGBoost
Accuracy,0.3645526057030482,ndpi/cross_project/exclude_target,XGBoost
Precision,0.0846288162820619,ndpi/cross_project/exclude_target,XGBoost
Recall,0.8818181818181821,ndpi/cross_project/exclude_target,XGBoost
F1-Score,0.15410742326382781,ndpi/cross_project/exclude_target,XGBoost
PR_AUC,0.13050899913380645,ndpi/cross_project/exclude_target,XGBoost
MCC,0.05476433111400173,openthread/cross_project/exclude_target,XGBoost
AUC_ROC,0.679019964025574,openthread/cross_project/exclude_target,XGBoost
Accuracy,0.3274597495527728,openthread/cross_project/exclude_target,XGBoost
Precision,0.01984444823266756,openthread/cross_project/exclude_target,XGBoost
Recall,0.8882352941176471,openthread/cross_project/exclude_target,XGBoost
F1-Score,0.03881349222516554,openthread/cross_project/exclude_target,XGBoost
PR_AUC,0.03900611781534409,openthread/cross_project/exclude_target,XGBoost
MCC,0.07402873853340942,php/cross_project/exclude_target,XGBoost
AUC_ROC,0.7396019877534694,php/cross_project/exclude_target,XGBoost
Accuracy,0.7491172871875548,php/cross_project/exclude_target,XGBoost
Precision,0.02681409075301914,php/cross_project/exclude_target,XGBoost
Recall,0.5347826086956522,php/cross_project/exclude_target,XGBoost
