feature,importance,project,model
patch_coverage_recalculated,0.16432635,arrow/cross_project/exclude_target,XGBoost
project_total_branch_percent,0.07755591,arrow/cross_project/exclude_target,XGBoost
project_total_branch_percent_delta,0.07365395,arrow/cross_project/exclude_target,XGBoost
project_total_function_percent,0.08242109,arrow/cross_project/exclude_target,XGBoost
project_total_function_percent_delta,0.07685973,arrow/cross_project/exclude_target,XGBoost
project_total_instantiation_percent,0.080484256,arrow/cross_project/exclude_target,XGBoost
project_total_instantiation_percent_delta,0.08523672,arrow/cross_project/exclude_target,XGBoost
project_total_line_percent,0.08667517,arrow/cross_project/exclude_target,XGBoost
project_total_line_percent_delta,0.08890786,arrow/cross_project/exclude_target,XGBoost
project_total_region_percent,0.091901995,arrow/cross_project/exclude_target,XGBoost
project_total_region_percent_delta,0.09197699,arrow/cross_project/exclude_target,XGBoost
patch_coverage_recalculated,0.17513518,c-blosc2/cross_project/exclude_target,XGBoost
project_total_branch_percent,0.07428972,c-blosc2/cross_project/exclude_target,XGBoost
project_total_branch_percent_delta,0.07711468,c-blosc2/cross_project/exclude_target,XGBoost
project_total_function_percent,0.079964064,c-blosc2/cross_project/exclude_target,XGBoost
project_total_function_percent_delta,0.08024315,c-blosc2/cross_project/exclude_target,XGBoost
project_total_instantiation_percent,0.085931286,c-blosc2/cross_project/exclude_target,XGBoost
project_total_instantiation_percent_delta,0.08684461,c-blosc2/cross_project/exclude_target,XGBoost
project_total_line_percent,0.07731298,c-blosc2/cross_project/exclude_target,XGBoost
project_total_line_percent_delta,0.09119109,c-blosc2/cross_project/exclude_target,XGBoost
project_total_region_percent,0.08427413,c-blosc2/cross_project/exclude_target,XGBoost
project_total_region_percent_delta,0.0876991,c-blosc2/cross_project/exclude_target,XGBoost
patch_coverage_recalculated,0.17150593,ghostscript/cross_project/exclude_target,XGBoost
project_total_branch_percent,0.08143297,ghostscript/cross_project/exclude_target,XGBoost
project_total_branch_percent_delta,0.07943424,ghostscript/cross_project/exclude_target,XGBoost
project_total_function_percent,0.07747915,ghostscript/cross_project/exclude_target,XGBoost
project_total_function_percent_delta,0.076823466,ghostscript/cross_project/exclude_target,XGBoost
project_total_instantiation_percent,0.0869421,ghostscript/cross_project/exclude_target,XGBoost
