model,Metric,Mean_Value,Project_Count
Random,Accuracy,0.947720,15
RandomForest,AUC_ROC,0.689394,15
XGBoost,AUC_ROC,0.683520,15
XGBoost,Recall,0.657964,15
RandomForest,Recall,0.643069,15
RandomForest,Accuracy,0.598471,15
XGBoost,Accuracy,0.586904,15
Random,AUC_ROC,0.499879,15
XGBoost,PR_AUC,0.093904,15
RandomForest,PR_AUC,0.093514,15
XGBoost,F1-Score,0.092526,15
RandomForest,F1-Score,0.092314,15
XGBoost,MCC,0.084976,15
RandomForest,MCC,0.084392,15
XGBoost,Precision,0.052106,15
RandomForest,Precision,0.051815,15
Random,PR_AUC,0.032601,15
Random,Precision,0.029816,15
Random,Recall,0.022288,15
Random,F1-Score,0.021655,15
Random,MCC,-0.000635,15
