feature,importance,project,model
age,0.015299415,arrow,XGBoost
daily_commit_count,0.014199316,arrow,XGBoost
directories_changed,0.039122004,arrow,XGBoost
entropy,0.028802898,arrow,XGBoost
exp,0.030969167,arrow,XGBoost
files_changed,0.0749367,arrow,XGBoost
is_bug_fix,0.0101402,arrow,XGBoost
lines_added,0.032458987,arrow,XGBoost
lines_deleted,0.08328002,arrow,XGBoost
ndev,0.091857895,arrow,XGBoost
nuc,0.019440616,arrow,XGBoost
patch_coverage_recalculated,0.0,arrow,XGBoost
project_total_branch_percent,0.0259355,arrow,XGBoost
project_total_branch_percent_delta,0.004403859,arrow,XGBoost
project_total_function_percent,0.013233407,arrow,XGBoost
project_total_function_percent_delta,0.049515158,arrow,XGBoost
project_total_instantiation_percent,0.038408495,arrow,XGBoost
project_total_instantiation_percent_delta,0.077520944,arrow,XGBoost
project_total_line_percent,0.027484972,arrow,XGBoost
project_total_line_percent_delta,0.013584259,arrow,XGBoost
project_total_region_percent,0.020076532,arrow,XGBoost
project_total_region_percent_delta,0.018004816,arrow,XGBoost
rexp,0.066363655,arrow,XGBoost
sexp,0.058147494,arrow,XGBoost
subsystems_changed,0.0064132353,arrow,XGBoost
total_prev_loc,0.09965972,arrow,XGBoost
age,0.025389444,c-blosc2,XGBoost
daily_commit_count,0.05627772,c-blosc2,XGBoost
directories_changed,0.035927143,c-blosc2,XGBoost
entropy,0.0175439,c-blosc2,XGBoost
exp,0.018432172,c-blosc2,XGBoost
files_changed,0.05680236,c-blosc2,XGBoost
is_bug_fix,0.034242056,c-blosc2,XGBoost
lines_added,0.072679415,c-blosc2,XGBoost
lines_deleted,0.058901414,c-blosc2,XGBoost
ndev,0.05574907,c-blosc2,XGBoost
nuc,0.043878548,c-blosc2,XGBoost
patch_coverage_recalculated,0.0,c-blosc2,XGBoost
project_total_branch_percent,0.011167615,c-blosc2,XGBoost
project_total_branch_percent_delta,0.03172426,c-blosc2,XGBoost
project_total_function_percent,0.01139795,c-blosc2,XGBoost
project_total_function_percent_delta,0.0069825305,c-blosc2,XGBoost
project_total_instantiation_percent,0.011879674,c-blosc2,XGBoost
project_total_instantiation_percent_delta,0.025630997,c-blosc2,XGBoost
project_total_line_percent,0.024647763,c-blosc2,XGBoost
project_total_line_percent_delta,0.04159826,c-blosc2,XGBoost
project_total_region_percent,0.0137289865,c-blosc2,XGBoost
project_total_region_percent_delta,0.04239318,c-blosc2,XGBoost
rexp,0.052870896,c-blosc2,XGBoost
sexp,0.04138965,c-blosc2,XGBoost
subsystems_changed,0.030905219,c-blosc2,XGBoost
total_prev_loc,0.066748664,c-blosc2,XGBoost
age,0.028619645,clamav,XGBoost
daily_commit_count,0.009028653,clamav,XGBoost
directories_changed,0.0052146786,clamav,XGBoost
entropy,0.032318212,clamav,XGBoost
exp,0.015637266,clamav,XGBoost
files_changed,0.035478663,clamav,XGBoost
is_bug_fix,0.0043888832,clamav,XGBoost
lines_added,0.04763311,clamav,XGBoost
lines_deleted,0.015955174,clamav,XGBoost
ndev,0.007510248,clamav,XGBoost
nuc,0.018573917,clamav,XGBoost
patch_coverage_recalculated,0.0,clamav,XGBoost
project_total_branch_percent,0.005912704,clamav,XGBoost
project_total_branch_percent_delta,0.0024431208,clamav,XGBoost
project_total_function_percent,0.013493892,clamav,XGBoost
project_total_function_percent_delta,0.0,clamav,XGBoost
project_total_instantiation_percent,0.013890543,clamav,XGBoost
project_total_instantiation_percent_delta,0.0,clamav,XGBoost
