Metric,Value,project,model,positive_days
Accuracy,0.7021285965,libjxl,RandomForest,15
F1-Score,0.1015985266,libjxl,RandomForest,15
MCC,0.105660154,libjxl,RandomForest,15
PR_AUC,0.1930549408,libjxl,RandomForest,15
Precision,0.0257676581,libjxl,RandomForest,15
Recall,0.5486111111,libjxl,RandomForest,15
AUC_ROC,0.7436574809,libjxl,XGBoost,15
Accuracy,0.7324228197,libjxl,XGBoost,15
F1-Score,0.1031442568,libjxl,XGBoost,15
MCC,0.1215647035,libjxl,XGBoost,15
PR_AUC,0.1046710308,libjxl,XGBoost,15
Precision,0.0269660123,libjxl,XGBoost,15
Recall,0.5458333333,libjxl,XGBoost,15
AUC_ROC,0.5000745735,fluent-bit,Random,14
AUC_ROC,0.4977001042,icu,Random,14
AUC_ROC,0.5015351723,libvips,Random,14
Accuracy,0.9647073461,fluent-bit,Random,14
Accuracy,0.978490991,icu,Random,14
Accuracy,0.9691245728,libvips,Random,14
F1-Score,0.0171111111,fluent-bit,Random,14
F1-Score,0.0044444444,icu,Random,14
F1-Score,0.0174873737,libvips,Random,14
MCC,-0.0004712583,fluent-bit,Random,14
MCC,-0.0045614217,icu,Random,14
MCC,0.0040378051,libvips,Random,14
PR_AUC,0.0304770905,fluent-bit,Random,14
PR_AUC,0.0377877878,icu,Random,14
PR_AUC,0.0441226452,libvips,Random,14
Precision,0.0104249668,fluent-bit,Random,14
Precision,0.0029585799,icu,Random,14
Precision,0.0139534884,libvips,Random,14
Recall,0.0255555556,fluent-bit,Random,14
Recall,0.0037037037,icu,Random,14
Recall,0.0154166667,libvips,Random,14
AUC_ROC,0.5609662016,fluent-bit,RandomForest,14
AUC_ROC,0.6076045545,icu,RandomForest,14
AUC_ROC,0.4964657622,libvips,RandomForest,14
Accuracy,0.7378277154,fluent-bit,RandomForest,14
Accuracy,0.4583708709,icu,RandomForest,14
Accuracy,0.5525662666,libvips,RandomForest,14
F1-Score,0.054858111,fluent-bit,RandomForest,14
F1-Score,0.0333222054,icu,RandomForest,14
F1-Score,0.0640666888,libvips,RandomForest,14
MCC,0.0301323357,fluent-bit,RandomForest,14
MCC,0.0123694476,icu,RandomForest,14
MCC,0.0157162406,libvips,RandomForest,14
PR_AUC,0.086287315,fluent-bit,RandomForest,14
PR_AUC,0.0947936751,icu,RandomForest,14
PR_AUC,0.0999498956,libvips,RandomForest,14
Precision,0.0171605206,fluent-bit,RandomForest,14
Precision,0.0089261551,icu,RandomForest,14
Precision,0.0203524206,libvips,RandomForest,14
Recall,0.4433333333,fluent-bit,RandomForest,14
Recall,0.6125,icu,RandomForest,14
Recall,0.3633333333,libvips,RandomForest,14
AUC_ROC,0.6500347222,fluent-bit,XGBoost,14
AUC_ROC,0.48406345,icu,XGBoost,14
AUC_ROC,0.5330050505,libvips,XGBoost,14
Accuracy,0.8671596072,fluent-bit,XGBoost,14
Accuracy,0.7700825826,icu,XGBoost,14
Accuracy,0.740474702,libvips,XGBoost,14
F1-Score,0.0198425182,fluent-bit,XGBoost,14
F1-Score,0.0060090046,icu,XGBoost,14
F1-Score,0.0564614172,libvips,XGBoost,14
MCC,0.039490788,fluent-bit,XGBoost,14
MCC,0.0022353739,icu,XGBoost,14
MCC,0.0434512143,libvips,XGBoost,14
PR_AUC,0.0707384569,fluent-bit,XGBoost,14
PR_AUC,0.0375832587,icu,XGBoost,14
PR_AUC,0.0659255906,libvips,XGBoost,14
Precision,0.0062828252,fluent-bit,XGBoost,14
Precision,0.0022749308,icu,XGBoost,14
Precision,0.0259482072,libvips,XGBoost,14
Recall,0.2466666667,fluent-bit,XGBoost,14
Recall,0.3222222222,icu,XGBoost,14
Recall,0.1041666667,libvips,XGBoost,14
AUC_ROC,0.498062948,clamav,Random,12
Accuracy,0.932771261,clamav,Random,12
F1-Score,0.0239047619,clamav,Random,12
MCC,-0.0059839973,clamav,Random,12
PR_AUC,0.0722306397,clamav,Random,12
Precision,0.0194174757,clamav,Random,12
Recall,0.0266666667,clamav,Random,12
AUC_ROC,0.5403938919,clamav,RandomForest,12
Accuracy,0.300692408,clamav,RandomForest,12
F1-Score,0.1038161496,clamav,RandomForest,12
MCC,0.0046360954,clamav,RandomForest,12
PR_AUC,0.1456048813,clamav,RandomForest,12
Precision,0.036882899,clamav,RandomForest,12
Recall,0.7155555556,clamav,RandomForest,12
AUC_ROC,0.5174097969,clamav,XGBoost,12
Accuracy,0.7644020854,clamav,XGBoost,12
F1-Score,0.0325521886,clamav,XGBoost,12
MCC,0.0120893023,clamav,XGBoost,12
PR_AUC,0.0671989233,clamav,XGBoost,12
Precision,0.0152649495,clamav,XGBoost,12
Recall,0.2033333333,clamav,XGBoost,12
