model,Metric,Mean_Value,Project_Count
Random,Accuracy,0.956026,19
XGBoost,Accuracy,0.769390,19
RandomForest,Accuracy,0.593416,19
RandomForest,AUC_ROC,0.569675,19
XGBoost,AUC_ROC,0.553603,19
RandomForest,Recall,0.526087,19
Random,AUC_ROC,0.500502,19
XGBoost,Recall,0.270057,19
RandomForest,PR_AUC,0.101657,19
RandomForest,F1-Score,0.067148,19
XGBoost,PR_AUC,0.058234,19
Random,PR_AUC,0.044025,19
XGBoost,F1-Score,0.037588,19
Random,Recall,0.029286,19
XGBoost,MCC,0.027760,19
RandomForest,MCC,0.026050,19
RandomForest,Precision,0.023088,19
Random,F1-Score,0.022280,19
XGBoost,Precision,0.016086,19
Random,Precision,0.015240,19
Random,MCC,0.000386,19
