Metric,Value,project,model
MCC,0.1618782773,arrow,XGBoost
AUC_ROC,0.8540891953,arrow,XGBoost
Accuracy,0.8433317928,arrow,XGBoost
Precision,0.0171412863,arrow,XGBoost
Recall,0.7037037037,arrow,XGBoost
F1-Score,0.0948026554,arrow,XGBoost
PR_AUC,0.1803185388,arrow,XGBoost
MCC,0.302171386,c-blosc2,XGBoost
AUC_ROC,0.8151376623,c-blosc2,XGBoost
Accuracy,0.8226984127,c-blosc2,XGBoost
Precision,0.1212274532,c-blosc2,XGBoost
Recall,0.692,c-blosc2,XGBoost
F1-Score,0.2951651128,c-blosc2,XGBoost
PR_AUC,0.5181295278,c-blosc2,XGBoost
MCC,0.06527806,clamav,XGBoost
AUC_ROC,0.5851732378,clamav,XGBoost
Accuracy,0.8703730857,clamav,XGBoost
Precision,0.0493527837,clamav,XGBoost
Recall,0.2066666667,clamav,XGBoost
F1-Score,0.0865704014,clamav,XGBoost
PR_AUC,0.1249571899,clamav,XGBoost
MCC,0.0038662456,curl,XGBoost
AUC_ROC,0.5180520833,curl,XGBoost
Accuracy,0.8139800147,curl,XGBoost
Precision,0.0016256609,curl,XGBoost
Recall,0.1333333333,curl,XGBoost
F1-Score,0.0056593771,curl,XGBoost
PR_AUC,0.0153648357,curl,XGBoost
MCC,0.0536966324,file,XGBoost
AUC_ROC,0.6145833333,file,XGBoost
Accuracy,0.8915304819,file,XGBoost
Precision,0.0182505152,file,XGBoost
Recall,0.2166666667,file,XGBoost
F1-Score,0.0428477616,file,XGBoost
PR_AUC,0.0704338129,file,XGBoost
MCC,0.0257739535,fluent-bit,XGBoost
AUC_ROC,0.6118543956,fluent-bit,XGBoost
Accuracy,0.7597273168,fluent-bit,XGBoost
Precision,0.0087712697,fluent-bit,XGBoost
Recall,0.3044444444,fluent-bit,XGBoost
F1-Score,0.0278966692,fluent-bit,XGBoost
PR_AUC,0.0847512006,fluent-bit,XGBoost
MCC,0.1328769185,harfbuzz,XGBoost
AUC_ROC,0.7426428943,harfbuzz,XGBoost
Accuracy,0.7881045229,harfbuzz,XGBoost
Precision,0.0818357646,harfbuzz,XGBoost
Recall,0.4723368607,harfbuzz,XGBoost
F1-Score,0.1344328956,harfbuzz,XGBoost
PR_AUC,0.171291004,harfbuzz,XGBoost
MCC,0.0396082301,icu,XGBoost
AUC_ROC,0.5940356232,icu,XGBoost
Accuracy,0.8687312312,icu,XGBoost
Precision,0.0183550168,icu,XGBoost
Recall,0.2597222222,icu,XGBoost
F1-Score,0.0469416604,icu,XGBoost
PR_AUC,0.0663740158,icu,XGBoost
MCC,0.0641463827,leptonica,XGBoost
AUC_ROC,0.5995539559,leptonica,XGBoost
Accuracy,0.7916318574,leptonica,XGBoost
Precision,0.0233077259,leptonica,XGBoost
Recall,0.3481481481,leptonica,XGBoost
F1-Score,0.0853813022,leptonica,XGBoost
PR_AUC,0.117774596,leptonica,XGBoost
MCC,0.0468029715,libarchive,XGBoost
AUC_ROC,0.6143193042,libarchive,XGBoost
Accuracy,0.7478835979,libarchive,XGBoost
Precision,0.011811925,libarchive,XGBoost
Recall,0.31,libarchive,XGBoost
F1-Score,0.0369971069,libarchive,XGBoost
PR_AUC,0.0593191572,libarchive,XGBoost
MCC,0.0322272145,libavc,XGBoost
AUC_ROC,0.5595409799,libavc,XGBoost
Accuracy,0.8839506173,libavc,XGBoost
Precision,0.0544937991,libavc,XGBoost
Recall,0.2625,libavc,XGBoost
F1-Score,0.0787275855,libavc,XGBoost
PR_AUC,0.1601013854,libavc,XGBoost
MCC,0.1090042286,libjxl,XGBoost
AUC_ROC,0.7393576548,libjxl,XGBoost
Accuracy,0.7654485838,libjxl,XGBoost
Precision,0.0265343552,libjxl,XGBoost
Recall,0.4916666667,libjxl,XGBoost
F1-Score,0.1036762201,libjxl,XGBoost
PR_AUC,0.1178960304,libjxl,XGBoost
MCC,0.0225950548,libvips,XGBoost
AUC_ROC,0.5076650433,libvips,XGBoost
Accuracy,0.735711532,libvips,XGBoost
Precision,0.0214305853,libvips,XGBoost
Recall,0.145,libvips,XGBoost
F1-Score,0.0530533432,libvips,XGBoost
PR_AUC,0.0719736772,libvips,XGBoost
MCC,0.0335868841,mruby,XGBoost
AUC_ROC,0.5553077734,mruby,XGBoost
Accuracy,0.6597203665,mruby,XGBoost
Precision,0.0296240795,mruby,XGBoost
Recall,0.3807043651,mruby,XGBoost
F1-Score,0.0579269905,mruby,XGBoost
PR_AUC,0.0699473432,mruby,XGBoost
MCC,0.0531132221,net-snmp,XGBoost
AUC_ROC,0.647982906,net-snmp,XGBoost
Accuracy,0.871774868,net-snmp,XGBoost
Precision,0.0189800561,net-snmp,XGBoost
Recall,0.3333333333,net-snmp,XGBoost
F1-Score,0.042130582,net-snmp,XGBoost
PR_AUC,0.0717466562,net-snmp,XGBoost
MCC,0.0273295942,open62541,XGBoost
AUC_ROC,0.5535184876,open62541,XGBoost
Accuracy,0.7146289638,open62541,XGBoost
Precision,0.0081021248,open62541,XGBoost
Recall,0.34,open62541,XGBoost
F1-Score,0.0246726732,open62541,XGBoost
PR_AUC,0.052636366,open62541,XGBoost
MCC,0.0212398704,openthread,XGBoost
AUC_ROC,0.6054491245,openthread,XGBoost
Accuracy,0.665980916,openthread,XGBoost
Precision,0.011837329,openthread,XGBoost
Recall,0.4688888889,openthread,XGBoost
F1-Score,0.0392039102,openthread,XGBoost
PR_AUC,0.0754846967,openthread,XGBoost
MCC,0.027328648,serenity,XGBoost
AUC_ROC,0.6089929338,serenity,XGBoost
Accuracy,0.8114962652,serenity,XGBoost
Precision,0.0172973043,serenity,XGBoost
Recall,0.3851282051,serenity,XGBoost
F1-Score,0.0545760204,serenity,XGBoost
PR_AUC,0.0606560243,serenity,XGBoost
MCC,0.00521937,wolfssl,XGBoost
AUC_ROC,0.5443093449,wolfssl,XGBoost
Accuracy,0.5622824632,wolfssl,XGBoost
Precision,0.0057409575,wolfssl,XGBoost
Recall,0.4722222222,wolfssl,XGBoost
F1-Score,0.0219773514,wolfssl,XGBoost
PR_AUC,0.0229261028,wolfssl,XGBoost
MCC,0.2185792136,arrow,RandomForest
AUC_ROC,0.9154090472,arrow,RandomForest
Accuracy,0.8379990863,arrow,RandomForest
Precision,0.0235789972,arrow,RandomForest
Recall,0.8851851852,arrow,RandomForest
F1-Score,0.1303671363,arrow,RandomForest
PR_AUC,0.2826682533,arrow,RandomForest
MCC,0.3429094601,c-blosc2,RandomForest
AUC_ROC,0.8373915584,c-blosc2,RandomForest
Accuracy,0.7855144033,c-blosc2,RandomForest
Precision,0.1429085906,c-blosc2,RandomForest
Recall,0.8124444444,c-blosc2,RandomForest
F1-Score,0.3577732108,c-blosc2,RandomForest
PR_AUC,0.4820202273,c-blosc2,RandomForest
MCC,0.1856245059,clamav,RandomForest
AUC_ROC,0.7470974462,clamav,RandomForest
Accuracy,0.7733911698,clamav,RandomForest
Precision,0.0945265156,clamav,RandomForest
Recall,0.5311111111,clamav,RandomForest
F1-Score,0.2192052109,clamav,RandomForest
PR_AUC,0.3043230238,clamav,RandomForest
MCC,0.047362826,curl,RandomForest
AUC_ROC,0.6756896177,curl,RandomForest
Accuracy,0.6560724239,curl,RandomForest
Precision,0.0098882085,curl,RandomForest
Recall,0.5716666667,curl,RandomForest
F1-Score,0.0406200228,curl,RandomForest
PR_AUC,0.1001031294,curl,RandomForest
MCC,0.1463943191,file,RandomForest
AUC_ROC,0.6746614801,file,RandomForest
Accuracy,0.7729728673,file,RandomForest
Precision,0.0527200358,file,RandomForest
Recall,0.5944444444,file,RandomForest
F1-Score,0.1342529838,file,RandomForest
PR_AUC,0.2022061371,file,RandomForest
MCC,0.028829708,fluent-bit,RandomForest
AUC_ROC,0.5897201136,fluent-bit,RandomForest
Accuracy,0.6221844687,fluent-bit,RandomForest
Precision,0.0162652381,fluent-bit,RandomForest
Recall,0.5222222222,fluent-bit,RandomForest
F1-Score,0.0533605284,fluent-bit,RandomForest
PR_AUC,0.0681624181,fluent-bit,RandomForest
MCC,0.1217915095,harfbuzz,RandomForest
AUC_ROC,0.7490948714,harfbuzz,RandomForest
Accuracy,0.7569794872,harfbuzz,RandomForest
Precision,0.0773404389,harfbuzz,RandomForest
Recall,0.4668606702,harfbuzz,RandomForest
F1-Score,0.1279376601,harfbuzz,RandomForest
PR_AUC,0.1739967198,harfbuzz,RandomForest
MCC,0.133891656,icu,RandomForest
AUC_ROC,0.7154828808,icu,RandomForest
Accuracy,0.6484234234,icu,RandomForest
Precision,0.0306196083,icu,RandomForest
Recall,0.737962963,icu,RandomForest
F1-Score,0.1326397676,icu,RandomForest
PR_AUC,0.1477442795,icu,RandomForest
MCC,0.1601972926,leptonica,RandomForest
AUC_ROC,0.7427084615,leptonica,RandomForest
Accuracy,0.6551044277,leptonica,RandomForest
Precision,0.0463749127,leptonica,RandomForest
Recall,0.8888888889,leptonica,RandomForest
F1-Score,0.1827277679,leptonica,RandomForest
PR_AUC,0.324638914,leptonica,RandomForest
MCC,0.0723735952,libarchive,RandomForest
AUC_ROC,0.7374529699,libarchive,RandomForest
Accuracy,0.6243197279,libarchive,RandomForest
Precision,0.0224220187,libarchive,RandomForest
Recall,0.6516666667,libarchive,RandomForest
F1-Score,0.0747568175,libarchive,RandomForest
PR_AUC,0.2067398819,libarchive,RandomForest
MCC,0.0482670992,libavc,RandomForest
AUC_ROC,0.573278033,libavc,RandomForest
Accuracy,0.6083950617,libavc,RandomForest
Precision,0.0531226658,libavc,RandomForest
Recall,0.5458333333,libavc,RandomForest
F1-Score,0.1798836397,libavc,RandomForest
PR_AUC,0.2467568181,libavc,RandomForest
MCC,0.1164542848,libjxl,RandomForest
AUC_ROC,0.7589636368,libjxl,RandomForest
Accuracy,0.7516066094,libjxl,RandomForest
Precision,0.029665724,libjxl,RandomForest
Recall,0.5708333333,libjxl,RandomForest
F1-Score,0.1166321211,libjxl,RandomForest
PR_AUC,0.1678314876,libjxl,RandomForest
MCC,0.013076397,libvips,RandomForest
AUC_ROC,0.4561376065,libvips,RandomForest
Accuracy,0.6771286572,libvips,RandomForest
Precision,0.0201254362,libvips,RandomForest
Recall,0.1929166667,libvips,RandomForest
F1-Score,0.0645557435,libvips,RandomForest
PR_AUC,0.0943165828,libvips,RandomForest
MCC,0.0610580342,mruby,RandomForest
AUC_ROC,0.6028659641,mruby,RandomForest
Accuracy,0.5804372354,mruby,RandomForest
Precision,0.0371320311,mruby,RandomForest
Recall,0.565922619,mruby,RandomForest
F1-Score,0.0756580697,mruby,RandomForest
