Metric,Value,project,model
MCC,0.1100349764,arrow,XGBoost
AUC_ROC,0.7715577599,arrow,XGBoost
Accuracy,0.7871767493,arrow,XGBoost
Precision,0.0106724283,arrow,XGBoost
Recall,0.6074074074,arrow,XGBoost
F1-Score,0.0596852947,arrow,XGBoost
PR_AUC,0.1034570358,arrow,XGBoost
MCC,0.25229207,c-blosc2,XGBoost
AUC_ROC,0.7867407407,c-blosc2,XGBoost
Accuracy,0.7872427984,c-blosc2,XGBoost
Precision,0.1083146378,c-blosc2,XGBoost
Recall,0.6537777778,c-blosc2,XGBoost
F1-Score,0.2629703167,c-blosc2,XGBoost
PR_AUC,0.4001653894,c-blosc2,XGBoost
MCC,0.061013411,clamav,XGBoost
AUC_ROC,0.5891266428,clamav,XGBoost
Accuracy,0.8604268491,clamav,XGBoost
Precision,0.0393103611,clamav,XGBoost
Recall,0.2455555556,clamav,XGBoost
F1-Score,0.077338437,clamav,XGBoost
PR_AUC,0.1273301541,clamav,XGBoost
MCC,0.0004681295,curl,XGBoost
AUC_ROC,0.511,curl,XGBoost
Accuracy,0.7515922259,curl,XGBoost
Precision,0.0012414128,curl,XGBoost
Recall,0.0958333333,curl,XGBoost
F1-Score,0.004830247,curl,XGBoost
PR_AUC,0.0141257927,curl,XGBoost
MCC,0.0602676672,file,XGBoost
AUC_ROC,0.6035183445,file,XGBoost
Accuracy,0.810982094,file,XGBoost
Precision,0.0197039495,file,XGBoost
Recall,0.3194444444,file,XGBoost
F1-Score,0.0472265188,file,XGBoost
PR_AUC,0.0631951295,file,XGBoost
MCC,0.0040864405,fluent-bit,XGBoost
AUC_ROC,0.5120802808,fluent-bit,XGBoost
Accuracy,0.6700177184,fluent-bit,XGBoost
Precision,0.0051195964,fluent-bit,XGBoost
Recall,0.2277777778,fluent-bit,XGBoost
F1-Score,0.0167335584,fluent-bit,XGBoost
PR_AUC,0.0315357309,fluent-bit,XGBoost
MCC,0.1073047588,harfbuzz,XGBoost
AUC_ROC,0.6603715003,harfbuzz,XGBoost
Accuracy,0.7612729468,harfbuzz,XGBoost
Precision,0.0769439869,harfbuzz,XGBoost
Recall,0.4110670194,harfbuzz,XGBoost
F1-Score,0.1236451057,harfbuzz,XGBoost
PR_AUC,0.1519938409,harfbuzz,XGBoost
MCC,0.0148215453,icu,XGBoost
AUC_ROC,0.5413665784,icu,XGBoost
Accuracy,0.8648273273,icu,XGBoost
Precision,0.0087978452,icu,XGBoost
Recall,0.2027777778,icu,XGBoost
F1-Score,0.0222913726,icu,XGBoost
PR_AUC,0.0475136802,icu,XGBoost
MCC,0.0071123726,leptonica,XGBoost
AUC_ROC,0.514224191,leptonica,XGBoost
Accuracy,0.7192871067,leptonica,XGBoost
Precision,0.0096841351,leptonica,XGBoost
Recall,0.1685185185,leptonica,XGBoost
F1-Score,0.039426915,leptonica,XGBoost
PR_AUC,0.0724943203,leptonica,XGBoost
MCC,0.08295927,libarchive,XGBoost
AUC_ROC,0.6430679012,libarchive,XGBoost
Accuracy,0.7469671202,libarchive,XGBoost
Precision,0.0209864811,libarchive,XGBoost
Recall,0.42,libarchive,XGBoost
F1-Score,0.0664801113,libarchive,XGBoost
PR_AUC,0.0742260556,libarchive,XGBoost
MCC,0.0202580861,libavc,XGBoost
AUC_ROC,0.5284168956,libavc,XGBoost
Accuracy,0.8998765432,libavc,XGBoost
Precision,0.0281117,libavc,XGBoost
Recall,0.2020833333,libavc,XGBoost
F1-Score,0.0482823436,libavc,XGBoost
PR_AUC,0.1229955437,libavc,XGBoost
MCC,0.0456275371,libjxl,XGBoost
AUC_ROC,0.5440909182,libjxl,XGBoost
