feature,importance,project,model
VCC_f9_sum_if,0.070977576,c-blosc2,XGBoost
VCC_s10_nb_removed_INTMAX,0.0001263332,c-blosc2,XGBoost
VCC_s11_nb_added_goto,0.016600102,c-blosc2,XGBoost
VCC_s12_nb_removed_goto,0.00024675392,c-blosc2,XGBoost
VCC_s13_nb_added_define,0.009810348,c-blosc2,XGBoost
VCC_s14_nb_removed_define,0.018037468,c-blosc2,XGBoost
VCC_s15_nb_added_struct,0.004756273,c-blosc2,XGBoost
VCC_s16_nb_removed_struct,0.0012444028,c-blosc2,XGBoost
VCC_s17_diff_struct,0.002502525,c-blosc2,XGBoost
VCC_s18_sum_struct,0.0023128216,c-blosc2,XGBoost
VCC_s19_nb_added_offset,0.0012179222,c-blosc2,XGBoost
VCC_s1_nb_added_sizeof,0.0082049845,c-blosc2,XGBoost
VCC_s20_nb_removed_offset,0.0028250483,c-blosc2,XGBoost
VCC_s21_nb_added_void,0.0019396378,c-blosc2,XGBoost
VCC_s22_nb_removed_void,0.00265285,c-blosc2,XGBoost
VCC_s23_diff_void,0.0028606164,c-blosc2,XGBoost
VCC_s24_sum_void,0.0012376477,c-blosc2,XGBoost
VCC_s2_nb_removed_sizeof,0.022200787,c-blosc2,XGBoost
VCC_s3_diff_sizeof,0.0052487063,c-blosc2,XGBoost
VCC_s4_sum_sizeof,0.01173719,c-blosc2,XGBoost
VCC_s5_nb_added_continue,0.0012858824,c-blosc2,XGBoost
VCC_s6_nb_removed_continue,0.00013178703,c-blosc2,XGBoost
VCC_s7_nb_added_break,0.03464819,c-blosc2,XGBoost
VCC_s8_nb_removed_break,0.004869347,c-blosc2,XGBoost
VCC_s9_nb_added_INTMAX,0.0,c-blosc2,XGBoost
VCC_w1,0.0,c-blosc2,XGBoost
VCC_w10,0.0,c-blosc2,XGBoost
VCC_w2,0.006856762,c-blosc2,XGBoost
VCC_w3,0.010591707,c-blosc2,XGBoost
VCC_w4,0.0,c-blosc2,XGBoost
VCC_w5,0.0,c-blosc2,XGBoost
VCC_w6,0.0,c-blosc2,XGBoost
VCC_w7,0.0,c-blosc2,XGBoost
VCC_w8,0.0,c-blosc2,XGBoost
VCC_w9,0.0,c-blosc2,XGBoost
VCC_f10_nb_added_line,0.012821204,clamav,XGBoost
