Metric,Value,project,model
MCC,0.1601875645,arrow,XGBoost
AUC_ROC,0.859519614,arrow,XGBoost
Accuracy,0.8552389452,arrow,XGBoost
Precision,0.0177278649,arrow,XGBoost
Recall,0.6666666667,arrow,XGBoost
F1-Score,0.0971195931,arrow,XGBoost
PR_AUC,0.2038675476,arrow,XGBoost
MCC,0.3494446237,c-blosc2,XGBoost
AUC_ROC,0.8183420394,c-blosc2,XGBoost
Accuracy,0.848377425,c-blosc2,XGBoost
Precision,0.1445470168,c-blosc2,XGBoost
Recall,0.6702222222,c-blosc2,XGBoost
F1-Score,0.3494278749,c-blosc2,XGBoost
PR_AUC,0.5481625113,c-blosc2,XGBoost
MCC,0.0719485308,clamav,XGBoost
AUC_ROC,0.5819796894,clamav,XGBoost
Accuracy,0.9025048876,clamav,XGBoost
Precision,0.056600092,clamav,XGBoost
Recall,0.1777777778,clamav,XGBoost
F1-Score,0.0927797613,clamav,XGBoost
PR_AUC,0.1261034779,clamav,XGBoost
MCC,0.0048281816,curl,XGBoost
AUC_ROC,0.5202708333,curl,XGBoost
Accuracy,0.7436356802,curl,XGBoost
Precision,0.0015223342,curl,XGBoost
Recall,0.1125,curl,XGBoost
F1-Score,0.0059177879,curl,XGBoost
PR_AUC,0.0155681521,curl,XGBoost
MCC,0.0671342561,file,XGBoost
AUC_ROC,0.6189275272,file,XGBoost
Accuracy,0.8892720307,file,XGBoost
Precision,0.0205647512,file,XGBoost
Recall,0.2583333333,file,XGBoost
F1-Score,0.0486620642,file,XGBoost
PR_AUC,0.0799839955,file,XGBoost
MCC,0.0290815492,fluent-bit,XGBoost
AUC_ROC,0.599107906,fluent-bit,XGBoost
Accuracy,0.7105207837,fluent-bit,XGBoost
Precision,0.0083205058,fluent-bit,XGBoost
Recall,0.3322222222,fluent-bit,XGBoost
F1-Score,0.0273500967,fluent-bit,XGBoost
PR_AUC,0.0525370958,fluent-bit,XGBoost
MCC,0.1416040672,harfbuzz,XGBoost
AUC_ROC,0.7615132697,harfbuzz,XGBoost
Accuracy,0.7736818911,harfbuzz,XGBoost
Precision,0.082894306,harfbuzz,XGBoost
Recall,0.5180687831,harfbuzz,XGBoost
F1-Score,0.1387736772,harfbuzz,XGBoost
PR_AUC,0.1848473434,harfbuzz,XGBoost
MCC,0.0339066813,icu,XGBoost
AUC_ROC,0.5963716044,icu,XGBoost
Accuracy,0.8830705706,icu,XGBoost
Precision,0.0172374628,icu,XGBoost
Recall,0.2013888889,icu,XGBoost
F1-Score,0.0441624191,icu,XGBoost
PR_AUC,0.0631716369,icu,XGBoost
MCC,0.0599024824,leptonica,XGBoost
AUC_ROC,0.6004193839,leptonica,XGBoost
Accuracy,0.8346922863,leptonica,XGBoost
Precision,0.0219634255,leptonica,XGBoost
Recall,0.2777777778,leptonica,XGBoost
F1-Score,0.0801992624,leptonica,XGBoost
PR_AUC,0.1268737507,leptonica,XGBoost
MCC,0.0414681,libarchive,XGBoost
AUC_ROC,0.6333703704,libarchive,XGBoost
Accuracy,0.7413548753,libarchive,XGBoost
Precision,0.0100679306,libarchive,XGBoost
Recall,0.3033333333,libarchive,XGBoost
F1-Score,0.0328259347,libarchive,XGBoost
PR_AUC,0.0601205407,libarchive,XGBoost
MCC,0.0366690845,libavc,XGBoost
AUC_ROC,0.5601820055,libavc,XGBoost
Accuracy,0.887654321,libavc,XGBoost
Precision,0.0470919086,libavc,XGBoost
Recall,0.2708333333,libavc,XGBoost
F1-Score,0.0776752116,libavc,XGBoost
PR_AUC,0.1629781669,libavc,XGBoost
MCC,0.0437753839,libjxl,XGBoost
AUC_ROC,0.6214893352,libjxl,XGBoost
Accuracy,0.7982277503,libjxl,XGBoost
Precision,0.0187559075,libjxl,XGBoost
Recall,0.2715277778,libjxl,XGBoost
F1-Score,0.0704970709,libjxl,XGBoost
PR_AUC,0.0804512428,libjxl,XGBoost
MCC,-0.0086742417,libvips,XGBoost
AUC_ROC,0.4603742785,libvips,XGBoost
Accuracy,0.7733099942,libvips,XGBoost
Precision,0.0092957836,libvips,XGBoost
Recall,0.1225,libvips,XGBoost
F1-Score,0.0258804113,libvips,XGBoost
PR_AUC,0.0380560466,libvips,XGBoost
MCC,0.0333636879,mruby,XGBoost
AUC_ROC,0.5440206424,mruby,XGBoost
Accuracy,0.7546743152,mruby,XGBoost
Precision,0.0308089744,mruby,XGBoost
Recall,0.2680059524,mruby,XGBoost
F1-Score,0.0588786938,mruby,XGBoost
PR_AUC,0.0650909591,mruby,XGBoost
MCC,0.0524215525,net-snmp,XGBoost
AUC_ROC,0.6593846154,net-snmp,XGBoost
Accuracy,0.9015454056,net-snmp,XGBoost
Precision,0.0194848869,net-snmp,XGBoost
Recall,0.2866666667,net-snmp,XGBoost
F1-Score,0.0428036108,net-snmp,XGBoost
PR_AUC,0.0741955448,net-snmp,XGBoost
MCC,0.0320847743,open62541,XGBoost
AUC_ROC,0.5589619127,open62541,XGBoost
Accuracy,0.7480008678,open62541,XGBoost
Precision,0.0082557044,open62541,XGBoost
Recall,0.3233333333,open62541,XGBoost
F1-Score,0.0251543647,open62541,XGBoost
PR_AUC,0.0612132418,open62541,XGBoost
MCC,0.02977601,openthread,XGBoost
AUC_ROC,0.6019902242,openthread,XGBoost
Accuracy,0.575990601,openthread,XGBoost
Precision,0.012293641,openthread,XGBoost
Recall,0.5688888889,openthread,XGBoost
F1-Score,0.0416398344,openthread,XGBoost
PR_AUC,0.0621056393,openthread,XGBoost
MCC,0.0483731233,serenity,XGBoost
AUC_ROC,0.6335932322,serenity,XGBoost
Accuracy,0.7656574852,serenity,XGBoost
Precision,0.0195344263,serenity,XGBoost
Recall,0.5138461538,serenity,XGBoost
F1-Score,0.0630688699,serenity,XGBoost
PR_AUC,0.0668561322,serenity,XGBoost
MCC,0.014862043,wolfssl,XGBoost
AUC_ROC,0.5680146375,wolfssl,XGBoost
Accuracy,0.5629518072,wolfssl,XGBoost
Precision,0.0064616795,wolfssl,XGBoost
Recall,0.5037037037,wolfssl,XGBoost
F1-Score,0.0249288522,wolfssl,XGBoost
PR_AUC,0.0237808235,wolfssl,XGBoost
MCC,0.2166796681,arrow,RandomForest
AUC_ROC,0.917274609,arrow,RandomForest
Accuracy,0.8354839995,arrow,RandomForest
Precision,0.0231476877,arrow,RandomForest
Recall,0.8851851852,arrow,RandomForest
F1-Score,0.1280811574,arrow,RandomForest
PR_AUC,0.2807705193,arrow,RandomForest
MCC,0.3385257316,c-blosc2,RandomForest
AUC_ROC,0.8432904281,c-blosc2,RandomForest
Accuracy,0.8016519694,c-blosc2,RandomForest
Precision,0.1424836479,c-blosc2,RandomForest
Recall,0.7571111111,c-blosc2,RandomForest
F1-Score,0.3553893508,c-blosc2,RandomForest
PR_AUC,0.4774085854,c-blosc2,RandomForest
MCC,0.2014652763,clamav,RandomForest
AUC_ROC,0.7489335424,clamav,RandomForest
Accuracy,0.8321806777,clamav,RandomForest
Precision,0.1051046673,clamav,RandomForest
Recall,0.47,clamav,RandomForest
F1-Score,0.2342527098,clamav,RandomForest
PR_AUC,0.3036211545,clamav,RandomForest
MCC,0.0443403675,curl,RandomForest
AUC_ROC,0.6917165818,curl,RandomForest
Accuracy,0.6015498717,curl,RandomForest
Precision,0.0093940261,curl,RandomForest
Recall,0.5525,curl,RandomForest
F1-Score,0.0392982031,curl,RandomForest
PR_AUC,0.1246037784,curl,RandomForest
MCC,0.148995848,file,RandomForest
AUC_ROC,0.6555599067,file,RandomForest
Accuracy,0.7719120598,file,RandomForest
Precision,0.0605130022,file,RandomForest
Recall,0.575,file,RandomForest
F1-Score,0.1378785327,file,RandomForest
