feature,importance,project,model
VCC_f10_nb_added_line,0.04095443,arrow,XGBoost
VCC_f11_nb_removed_line,0.012968026,arrow,XGBoost
VCC_f12_diff_line,0.0035356376,arrow,XGBoost
VCC_f13_sum_line,0.019575851,arrow,XGBoost
VCC_f14_nb_added_paren,0.025421765,arrow,XGBoost
VCC_f15_nb_removed_paren,0.011443041,arrow,XGBoost
VCC_f16_diff_paren,0.0035536964,arrow,XGBoost
VCC_f17_sum_paren,0.014893053,arrow,XGBoost
VCC_f18_nb_added_bool,0.026464002,arrow,XGBoost
VCC_f19_nb_removed_bool,0.07401178,arrow,XGBoost
VCC_f1_sum_file_change,0.017454602,arrow,XGBoost
VCC_f20_diff_bool,0.0019560254,arrow,XGBoost
VCC_f21_sum_bool,0.06264285,arrow,XGBoost
VCC_f22_nb_added_assignement,0.003301334,arrow,XGBoost
VCC_f23_nb_removed_assignement,0.02105895,arrow,XGBoost
VCC_f24_diff_assignement,0.010307955,arrow,XGBoost
VCC_f25_sum_assignement,0.008488174,arrow,XGBoost
VCC_f26_nb_added_function,0.0031689953,arrow,XGBoost
VCC_f27_nb_removed_function,0.035821307,arrow,XGBoost
VCC_f28_diff_function,0.0031155387,arrow,XGBoost
VCC_f29_sum_function,0.030523667,arrow,XGBoost
VCC_f2_nb_added_loop,0.05127704,arrow,XGBoost
VCC_f3_nb_removed_loop,0.012662046,arrow,XGBoost
VCC_f4_diff_loop,0.0011126794,arrow,XGBoost
VCC_f5_sum_loop,0.026920337,arrow,XGBoost
VCC_f6_nb_added_if,0.039412167,arrow,XGBoost
VCC_f7_nb_removed_if,0.028855491,arrow,XGBoost
VCC_f8_diff_if,0.004714734,arrow,XGBoost
VCC_f9_sum_if,0.06861466,arrow,XGBoost
VCC_s10_nb_removed_INTMAX,0.0,arrow,XGBoost
VCC_s11_nb_added_goto,0.0,arrow,XGBoost
VCC_s12_nb_removed_goto,0.0,arrow,XGBoost
VCC_s13_nb_added_define,0.0012163424,arrow,XGBoost
VCC_s14_nb_removed_define,0.0069422866,arrow,XGBoost
VCC_s15_nb_added_struct,0.028122237,arrow,XGBoost
VCC_s16_nb_removed_struct,0.0068056914,arrow,XGBoost
VCC_s17_diff_struct,0.01449911,arrow,XGBoost
VCC_s18_sum_struct,0.021810649,arrow,XGBoost
VCC_s19_nb_added_offset,0.018048601,arrow,XGBoost
VCC_s1_nb_added_sizeof,0.015115998,arrow,XGBoost
VCC_s20_nb_removed_offset,0.00011134075,arrow,XGBoost
VCC_s21_nb_added_void,0.002567594,arrow,XGBoost
VCC_s22_nb_removed_void,0.0066413446,arrow,XGBoost
VCC_s23_diff_void,0.008486228,arrow,XGBoost
VCC_s24_sum_void,0.0012667067,arrow,XGBoost
VCC_s2_nb_removed_sizeof,0.004002617,arrow,XGBoost
VCC_s3_diff_sizeof,0.0010063997,arrow,XGBoost
VCC_s4_sum_sizeof,0.007764185,arrow,XGBoost
VCC_s5_nb_added_continue,0.025969157,arrow,XGBoost
VCC_s6_nb_removed_continue,0.0002719034,arrow,XGBoost
VCC_s7_nb_added_break,0.006429082,arrow,XGBoost
VCC_s8_nb_removed_break,0.00045619873,arrow,XGBoost
VCC_s9_nb_added_INTMAX,0.0,arrow,XGBoost
VCC_w1,0.023486048,arrow,XGBoost
VCC_w10,0.0007768884,arrow,XGBoost
VCC_w2,0.009883936,arrow,XGBoost
VCC_w3,0.001997407,arrow,XGBoost
VCC_w4,0.0061554653,arrow,XGBoost
VCC_w5,0.0,arrow,XGBoost
VCC_w6,0.0016476713,arrow,XGBoost
VCC_w7,0.0031740163,arrow,XGBoost
VCC_w8,0.0,arrow,XGBoost
VCC_w9,0.010393078,arrow,XGBoost
daily_commit_count,0.00047354438,arrow,XGBoost
patch_coverage_recalculated,0.0,arrow,XGBoost
project_total_branch_percent,0.009138681,arrow,XGBoost
