Metric,Value,project,model,positive_days
MCC,-0.011865348,harfbuzz,Random,50
MCC,0.1217915095,harfbuzz,RandomForest,50
MCC,0.1328769185,harfbuzz,XGBoost,50
MCC,0.0022893999,mruby,Random,36
MCC,0.0610580342,mruby,RandomForest,36
MCC,0.0335868841,mruby,XGBoost,36
MCC,-0.0024042015,serenity,Random,26
MCC,0.0227545102,serenity,RandomForest,26
MCC,0.027328648,serenity,XGBoost,26
MCC,0.007655575,c-blosc2,Random,23
MCC,0.3429094601,c-blosc2,RandomForest,23
MCC,0.302171386,c-blosc2,XGBoost,23
MCC,-0.0003546446,openthread,Random,22
MCC,0.0210267746,openthread,RandomForest,22
MCC,0.0212398704,openthread,XGBoost,22
