feature,importance,project,model
age,0.02833308,arrow,XGBoost
directories_changed,0.058804777,arrow,XGBoost
entropy,0.04332365,arrow,XGBoost
exp,0.043773774,arrow,XGBoost
files_changed,0.092698686,arrow,XGBoost
is_bug_fix,0.014987608,arrow,XGBoost
lines_added,0.060456734,arrow,XGBoost
lines_deleted,0.116077505,arrow,XGBoost
ndev,0.12367884,arrow,XGBoost
nuc,0.0347638,arrow,XGBoost
rexp,0.0884811,arrow,XGBoost
sexp,0.07985723,arrow,XGBoost
subsystems_changed,0.026029106,arrow,XGBoost
total_prev_loc,0.13317853,arrow,XGBoost
age,0.042647865,c-blosc2,XGBoost
directories_changed,0.044396646,c-blosc2,XGBoost
entropy,0.030930258,c-blosc2,XGBoost
exp,0.034511533,c-blosc2,XGBoost
files_changed,0.061944664,c-blosc2,XGBoost
is_bug_fix,0.052603222,c-blosc2,XGBoost
lines_added,0.1051514,c-blosc2,XGBoost
lines_deleted,0.07930027,c-blosc2,XGBoost
ndev,0.07707798,c-blosc2,XGBoost
nuc,0.058681205,c-blosc2,XGBoost
rexp,0.07619584,c-blosc2,XGBoost
sexp,0.05979419,c-blosc2,XGBoost
subsystems_changed,0.06857116,c-blosc2,XGBoost
total_prev_loc,0.097082645,c-blosc2,XGBoost
age,0.03664945,clamav,XGBoost
directories_changed,0.010489346,clamav,XGBoost
entropy,0.03841889,clamav,XGBoost
exp,0.024748456,clamav,XGBoost
files_changed,0.043539282,clamav,XGBoost
is_bug_fix,0.0072206478,clamav,XGBoost
lines_added,0.060173538,clamav,XGBoost
lines_deleted,0.018469274,clamav,XGBoost
ndev,0.011969596,clamav,XGBoost
nuc,0.023997046,clamav,XGBoost
rexp,0.023952534,clamav,XGBoost
sexp,0.04490019,clamav,XGBoost
subsystems_changed,0.0064131846,clamav,XGBoost
total_prev_loc,0.024058564,clamav,XGBoost
age,0.046234813,curl,XGBoost
directories_changed,0.03098385,curl,XGBoost
entropy,0.081338815,curl,XGBoost
exp,0.021788245,curl,XGBoost
files_changed,0.07072987,curl,XGBoost
is_bug_fix,0.025241187,curl,XGBoost
lines_added,0.030655663,curl,XGBoost
lines_deleted,0.031513385,curl,XGBoost
ndev,0.02149147,curl,XGBoost
nuc,0.058073062,curl,XGBoost
rexp,0.021402625,curl,XGBoost
sexp,0.047947664,curl,XGBoost
subsystems_changed,0.035484355,curl,XGBoost
total_prev_loc,0.032670543,curl,XGBoost
age,0.049117833,file,XGBoost
directories_changed,0.019397656,file,XGBoost
entropy,0.00047674737,file,XGBoost
exp,0.026905002,file,XGBoost
files_changed,0.0058937646,file,XGBoost
is_bug_fix,0.02108853,file,XGBoost
lines_added,0.028856475,file,XGBoost
lines_deleted,0.1211839,file,XGBoost
ndev,0.013502024,file,XGBoost
nuc,0.025610903,file,XGBoost
rexp,0.030716356,file,XGBoost
sexp,0.074165314,file,XGBoost
subsystems_changed,0.037052356,file,XGBoost
total_prev_loc,0.04232943,file,XGBoost
age,0.06544377,fluent-bit,XGBoost
directories_changed,0.013191049,fluent-bit,XGBoost
entropy,0.069180064,fluent-bit,XGBoost
exp,0.0588162,fluent-bit,XGBoost
files_changed,0.049063034,fluent-bit,XGBoost
is_bug_fix,0.037975032,fluent-bit,XGBoost
lines_added,0.061204556,fluent-bit,XGBoost
lines_deleted,0.06743594,fluent-bit,XGBoost
ndev,0.034008462,fluent-bit,XGBoost
nuc,0.05385495,fluent-bit,XGBoost
rexp,0.06502593,fluent-bit,XGBoost
sexp,0.066086836,fluent-bit,XGBoost
subsystems_changed,0.042737864,fluent-bit,XGBoost
total_prev_loc,0.034494832,fluent-bit,XGBoost
age,0.04500168,harfbuzz,XGBoost
directories_changed,0.1096008,harfbuzz,XGBoost
entropy,0.0365104,harfbuzz,XGBoost
exp,0.050270457,harfbuzz,XGBoost
files_changed,0.069586195,harfbuzz,XGBoost
is_bug_fix,0.045850802,harfbuzz,XGBoost
lines_added,0.079895556,harfbuzz,XGBoost
lines_deleted,0.0408047,harfbuzz,XGBoost
ndev,0.09362054,harfbuzz,XGBoost
nuc,0.10705535,harfbuzz,XGBoost
rexp,0.051331166,harfbuzz,XGBoost
sexp,0.040962167,harfbuzz,XGBoost
subsystems_changed,0.11399596,harfbuzz,XGBoost
total_prev_loc,0.115514226,harfbuzz,XGBoost
age,0.016236862,icu,XGBoost
directories_changed,0.020016562,icu,XGBoost
entropy,0.0515716,icu,XGBoost
exp,0.03774064,icu,XGBoost
