feature,importance,project,model
daily_commit_count,0.08671157,arrow,XGBoost
patch_coverage_recalculated,0.0,arrow,XGBoost
project_total_branch_percent,0.08262448,arrow,XGBoost
project_total_branch_percent_delta,0.023425594,arrow,XGBoost
project_total_function_percent,0.067080766,arrow,XGBoost
project_total_function_percent_delta,0.12987335,arrow,XGBoost
project_total_instantiation_percent,0.093216576,arrow,XGBoost
project_total_instantiation_percent_delta,0.17561509,arrow,XGBoost
project_total_line_percent,0.07162176,arrow,XGBoost
project_total_line_percent_delta,0.052422382,arrow,XGBoost
project_total_region_percent,0.068993285,arrow,XGBoost
project_total_region_percent_delta,0.05582256,arrow,XGBoost
daily_commit_count,0.18276088,c-blosc2,XGBoost
patch_coverage_recalculated,0.0,c-blosc2,XGBoost
project_total_branch_percent,0.05727838,c-blosc2,XGBoost
project_total_branch_percent_delta,0.08305265,c-blosc2,XGBoost
project_total_function_percent,0.08110458,c-blosc2,XGBoost
project_total_function_percent_delta,0.041859083,c-blosc2,XGBoost
project_total_instantiation_percent,0.036635906,c-blosc2,XGBoost
project_total_instantiation_percent_delta,0.059538614,c-blosc2,XGBoost
project_total_line_percent,0.07971372,c-blosc2,XGBoost
project_total_line_percent_delta,0.10169324,c-blosc2,XGBoost
project_total_region_percent,0.069720976,c-blosc2,XGBoost
project_total_region_percent_delta,0.09553087,c-blosc2,XGBoost
daily_commit_count,0.05003604,clamav,XGBoost
patch_coverage_recalculated,0.0,clamav,XGBoost
project_total_branch_percent,0.027063113,clamav,XGBoost
project_total_branch_percent_delta,0.013951158,clamav,XGBoost
project_total_function_percent,0.08151447,clamav,XGBoost
project_total_function_percent_delta,0.0014218572,clamav,XGBoost
project_total_instantiation_percent,0.016676323,clamav,XGBoost
project_total_instantiation_percent_delta,0.0,clamav,XGBoost
project_total_line_percent,0.052628472,clamav,XGBoost
project_total_line_percent_delta,0.024595106,clamav,XGBoost
project_total_region_percent,0.049668033,clamav,XGBoost
project_total_region_percent_delta,0.019945426,clamav,XGBoost
daily_commit_count,0.029860698,curl,XGBoost
patch_coverage_recalculated,0.0,curl,XGBoost
project_total_branch_percent,0.06845299,curl,XGBoost
project_total_branch_percent_delta,0.0029466879,curl,XGBoost
project_total_function_percent,0.105791725,curl,XGBoost
project_total_function_percent_delta,0.002081831,curl,XGBoost
project_total_instantiation_percent,0.0672735,curl,XGBoost
project_total_instantiation_percent_delta,0.0004817048,curl,XGBoost
project_total_line_percent,0.12324431,curl,XGBoost
project_total_line_percent_delta,0.03303062,curl,XGBoost
project_total_region_percent,0.09418739,curl,XGBoost
project_total_region_percent_delta,0.0245004,curl,XGBoost
daily_commit_count,0.11346332,file,XGBoost
patch_coverage_recalculated,0.0,file,XGBoost
project_total_branch_percent,0.04221351,file,XGBoost
project_total_branch_percent_delta,0.033504315,file,XGBoost
project_total_function_percent,0.07573536,file,XGBoost
project_total_function_percent_delta,0.0,file,XGBoost
project_total_instantiation_percent,0.050017197,file,XGBoost
project_total_instantiation_percent_delta,0.0,file,XGBoost
project_total_line_percent,0.062142838,file,XGBoost
project_total_line_percent_delta,0.011480991,file,XGBoost
project_total_region_percent,0.054092806,file,XGBoost
project_total_region_percent_delta,0.0017941061,file,XGBoost
daily_commit_count,0.09155526,fluent-bit,XGBoost
patch_coverage_recalculated,0.0,fluent-bit,XGBoost
project_total_branch_percent,0.05704555,fluent-bit,XGBoost
project_total_branch_percent_delta,0.045071118,fluent-bit,XGBoost
project_total_function_percent,0.08963833,fluent-bit,XGBoost
project_total_function_percent_delta,0.054630477,fluent-bit,XGBoost
project_total_instantiation_percent,0.04888769,fluent-bit,XGBoost
project_total_instantiation_percent_delta,0.038170885,fluent-bit,XGBoost
project_total_line_percent,0.09424789,fluent-bit,XGBoost
project_total_line_percent_delta,0.03764712,fluent-bit,XGBoost
project_total_region_percent,0.08004306,fluent-bit,XGBoost
project_total_region_percent_delta,0.02972928,fluent-bit,XGBoost
daily_commit_count,0.19761029,harfbuzz,XGBoost
patch_coverage_recalculated,0.022351142,harfbuzz,XGBoost
project_total_branch_percent,0.05236887,harfbuzz,XGBoost
project_total_branch_percent_delta,0.03506556,harfbuzz,XGBoost
project_total_function_percent,0.11916778,harfbuzz,XGBoost
project_total_function_percent_delta,0.063783556,harfbuzz,XGBoost
project_total_instantiation_percent,0.1029171,harfbuzz,XGBoost
project_total_instantiation_percent_delta,0.071095936,harfbuzz,XGBoost
project_total_line_percent,0.10072638,harfbuzz,XGBoost
project_total_line_percent_delta,0.06288254,harfbuzz,XGBoost
project_total_region_percent,0.111952886,harfbuzz,XGBoost
