Metric,Value,project,model
MCC,0.0789224557,arrow,XGBoost
AUC_ROC,0.75401164,arrow,XGBoost
Accuracy,0.7699058137,arrow,XGBoost
Precision,0.0078386926,arrow,XGBoost
Recall,0.5074074074,arrow,XGBoost
F1-Score,0.0442212145,arrow,XGBoost
PR_AUC,0.0786817414,arrow,XGBoost
MCC,0.2312101492,c-blosc2,XGBoost
AUC_ROC,0.784817797,c-blosc2,XGBoost
Accuracy,0.7854144621,c-blosc2,XGBoost
Precision,0.0991072768,c-blosc2,XGBoost
Recall,0.6464444444,c-blosc2,XGBoost
F1-Score,0.2409161796,c-blosc2,XGBoost
PR_AUC,0.3771646771,c-blosc2,XGBoost
MCC,0.0507856156,clamav,XGBoost
AUC_ROC,0.5883787336,clamav,XGBoost
Accuracy,0.8296146953,clamav,XGBoost
Precision,0.034954062,clamav,XGBoost
Recall,0.2555555556,clamav,XGBoost
F1-Score,0.0697816195,clamav,XGBoost
PR_AUC,0.1334525357,clamav,XGBoost
MCC,0.0009814277,curl,XGBoost
AUC_ROC,0.5117291667,curl,XGBoost
Accuracy,0.8158580858,curl,XGBoost
Precision,0.0014358928,curl,XGBoost
Recall,0.1125,curl,XGBoost
F1-Score,0.0050847997,curl,XGBoost
PR_AUC,0.0143493638,curl,XGBoost
MCC,0.0618339121,file,XGBoost
AUC_ROC,0.5992985937,file,XGBoost
Accuracy,0.8259949957,file,XGBoost
Precision,0.0207777492,file,XGBoost
Recall,0.3055555556,file,XGBoost
F1-Score,0.0488070668,file,XGBoost
PR_AUC,0.0644163568,file,XGBoost
MCC,0.0082492692,fluent-bit,XGBoost
AUC_ROC,0.5486733059,fluent-bit,XGBoost
Accuracy,0.7617595703,fluent-bit,XGBoost
Precision,0.0051674345,fluent-bit,XGBoost
Recall,0.2211111111,fluent-bit,XGBoost
F1-Score,0.0166244935,fluent-bit,XGBoost
PR_AUC,0.0423035879,fluent-bit,XGBoost
MCC,0.0897441454,harfbuzz,XGBoost
AUC_ROC,0.6562701504,harfbuzz,XGBoost
Accuracy,0.7765901188,harfbuzz,XGBoost
Precision,0.0682455265,harfbuzz,XGBoost
Recall,0.3617107584,harfbuzz,XGBoost
F1-Score,0.1096803119,harfbuzz,XGBoost
PR_AUC,0.1307368605,harfbuzz,XGBoost
MCC,0.0168697557,icu,XGBoost
AUC_ROC,0.5162871433,icu,XGBoost
Accuracy,0.826463964,icu,XGBoost
Precision,0.0088359661,icu,XGBoost
Recall,0.2819444444,icu,XGBoost
F1-Score,0.0225549902,icu,XGBoost
PR_AUC,0.0452696022,icu,XGBoost
MCC,0.012805496,leptonica,XGBoost
AUC_ROC,0.5278741643,leptonica,XGBoost
Accuracy,0.6773071568,leptonica,XGBoost
Precision,0.0109059427,leptonica,XGBoost
Recall,0.2555555556,leptonica,XGBoost
F1-Score,0.0451814512,leptonica,XGBoost
PR_AUC,0.0745296409,leptonica,XGBoost
MCC,0.0782938489,libarchive,XGBoost
AUC_ROC,0.6458754209,libarchive,XGBoost
Accuracy,0.745521542,libarchive,XGBoost
Precision,0.0206891779,libarchive,XGBoost
Recall,0.41,libarchive,XGBoost
F1-Score,0.0645748473,libarchive,XGBoost
PR_AUC,0.0795537534,libarchive,XGBoost
MCC,0.010712276,libavc,XGBoost
AUC_ROC,0.5241414835,libavc,XGBoost
Accuracy,0.8886419753,libavc,XGBoost
Precision,0.0327218756,libavc,XGBoost
Recall,0.2083333333,libavc,XGBoost
F1-Score,0.0476730546,libavc,XGBoost
PR_AUC,0.1196825244,libavc,XGBoost
MCC,0.1115692239,libjxl,XGBoost
AUC_ROC,0.7209059175,libjxl,XGBoost
Accuracy,0.762491447,libjxl,XGBoost
Precision,0.0297109321,libjxl,XGBoost
Recall,0.4444444444,libjxl,XGBoost
F1-Score,0.1125307676,libjxl,XGBoost
PR_AUC,0.1136405097,libjxl,XGBoost
MCC,0.0226206425,libvips,XGBoost
AUC_ROC,0.5337910354,libvips,XGBoost
Accuracy,0.7414202509,libvips,XGBoost
Precision,0.0164501719,libvips,XGBoost
Recall,0.1783333333,libvips,XGBoost
F1-Score,0.0425243939,libvips,XGBoost
PR_AUC,0.0943924269,libvips,XGBoost
MCC,0.0406848274,mruby,XGBoost
AUC_ROC,0.5856137985,mruby,XGBoost
Accuracy,0.62380893,mruby,XGBoost
Precision,0.028638749,mruby,XGBoost
Recall,0.4607142857,mruby,XGBoost
F1-Score,0.0578115172,mruby,XGBoost
PR_AUC,0.0653343563,mruby,XGBoost
MCC,0.0173488163,net-snmp,XGBoost
AUC_ROC,0.5748461538,net-snmp,XGBoost
Accuracy,0.7372065849,net-snmp,XGBoost
Precision,0.0101156274,net-snmp,XGBoost
Recall,0.44,net-snmp,XGBoost
F1-Score,0.0234145265,net-snmp,XGBoost
PR_AUC,0.0604031162,net-snmp,XGBoost
MCC,0.020504127,open62541,XGBoost
AUC_ROC,0.5720436475,open62541,XGBoost
Accuracy,0.637158374,open62541,XGBoost
Precision,0.0070204368,open62541,XGBoost
Recall,0.42,open62541,XGBoost
F1-Score,0.0215968499,open62541,XGBoost
PR_AUC,0.0378949685,open62541,XGBoost
MCC,0.0107917226,openthread,XGBoost
AUC_ROC,0.5593214106,openthread,XGBoost
Accuracy,0.6891862642,openthread,XGBoost
Precision,0.0108108362,openthread,XGBoost
Recall,0.3944444444,openthread,XGBoost
F1-Score,0.035096861,openthread,XGBoost
PR_AUC,0.0404088453,openthread,XGBoost
MCC,-0.0053851246,serenity,XGBoost
AUC_ROC,0.5197510247,serenity,XGBoost
Accuracy,0.8341355431,serenity,XGBoost
Precision,0.0129556471,serenity,XGBoost
Recall,0.2253846154,serenity,XGBoost
F1-Score,0.037492728,serenity,XGBoost
PR_AUC,0.0419306111,serenity,XGBoost
MCC,-0.0226186004,wolfssl,XGBoost
AUC_ROC,0.4564046117,wolfssl,XGBoost
Accuracy,0.5789825971,wolfssl,XGBoost
Precision,0.0044011869,wolfssl,XGBoost
Recall,0.2833333333,wolfssl,XGBoost
F1-Score,0.016560228,wolfssl,XGBoost
PR_AUC,0.0173464773,wolfssl,XGBoost
MCC,0.1332329919,arrow,RandomForest
AUC_ROC,0.8303881127,arrow,RandomForest
Accuracy,0.7694412571,arrow,RandomForest
Precision,0.0140110512,arrow,RandomForest
Recall,0.7592592593,arrow,RandomForest
F1-Score,0.0784629297,arrow,RandomForest
PR_AUC,0.1517818631,arrow,RandomForest
MCC,0.2819747818,c-blosc2,RandomForest
AUC_ROC,0.846606229,c-blosc2,RandomForest
Accuracy,0.7570429159,c-blosc2,RandomForest
Precision,0.120716822,c-blosc2,RandomForest
Recall,0.792,c-blosc2,RandomForest
F1-Score,0.305511753,c-blosc2,RandomForest
PR_AUC,0.426036818,c-blosc2,RandomForest
MCC,0.0610877836,clamav,RandomForest
AUC_ROC,0.6527098268,clamav,RandomForest
Accuracy,0.5853739003,clamav,RandomForest
Precision,0.0453397964,clamav,RandomForest
Recall,0.5733333333,clamav,RandomForest
F1-Score,0.1222135836,clamav,RandomForest
PR_AUC,0.2388132984,clamav,RandomForest
MCC,0.0461713927,curl,RandomForest
AUC_ROC,0.605823582,curl,RandomForest
Accuracy,0.5883324166,curl,RandomForest
Precision,0.0093372724,curl,RandomForest
Recall,0.6333333333,curl,RandomForest
F1-Score,0.0393483979,curl,RandomForest
PR_AUC,0.0442936039,curl,RandomForest
MCC,0.0574686174,file,RandomForest
AUC_ROC,0.6315745962,file,RandomForest
Accuracy,0.5872012406,file,RandomForest
Precision,0.0278953554,file,RandomForest
Recall,0.5944444444,file,RandomForest
F1-Score,0.07686598,file,RandomForest
PR_AUC,0.103827193,file,RandomForest
MCC,-0.0064705066,fluent-bit,RandomForest
AUC_ROC,0.5069032678,fluent-bit,RandomForest
Accuracy,0.6223153189,fluent-bit,RandomForest
Precision,0.0123131622,fluent-bit,RandomForest
Recall,0.4455555556,fluent-bit,RandomForest
F1-Score,0.0411246547,fluent-bit,RandomForest
PR_AUC,0.0577360191,fluent-bit,RandomForest
MCC,0.0920657953,harfbuzz,RandomForest
AUC_ROC,0.6601975345,harfbuzz,RandomForest
Accuracy,0.7825054532,harfbuzz,RandomForest
Precision,0.0756328381,harfbuzz,RandomForest
Recall,0.3435802469,harfbuzz,RandomForest
F1-Score,0.1154785667,harfbuzz,RandomForest
PR_AUC,0.1448361418,harfbuzz,RandomForest
MCC,0.0607601506,icu,RandomForest
AUC_ROC,0.6274239564,icu,RandomForest
Accuracy,0.5603228228,icu,RandomForest
Precision,0.0210879146,icu,RandomForest
