Strategy,Total Cost (Builds),Found vulnerabilities,Effective Trigger Rate (%),Cost per vulnerability
S1 Median,35925.0,198,15.142428785607196,181.43939393939394
S2 Random,188985.0,362,16.415410385259634,522.0580110497237
S3 Line-Proportional,38334.0,196,14.992503748125937,195.58163265306123
S4 Simple Regression,11084.0,96,11.347517730496454,115.45833333333333
S5 Multi Regression,18861.0,173,17.057569296375267,109.02312138728324
