issue_id,final_url,reported_date
143,https://issues.oss-fuzz.com/issues/42474761,2016-11-08T01:58:09.000Z
144,https://issues.oss-fuzz.com/issues/42474872,2016-11-08T02:59:14.000Z
153,https://issues.oss-fuzz.com/issues/42475872,2016-11-09T23:58:25.000Z
174,https://issues.oss-fuzz.com/issues/42478205,2016-11-14T20:59:05.000Z
182,https://issues.oss-fuzz.com/issues/42479094,2016-11-15T10:57:47.000Z
282,https://issues.oss-fuzz.com/issues/42490203,2016-12-13T08:57:40.000Z
283,https://issues.oss-fuzz.com/issues/42490314,2016-12-13T08:57:51.000Z
381,https://issues.oss-fuzz.com/issues/42501200,2017-01-04T08:59:51.000Z
449,https://issues.oss-fuzz.com/issues/42508751,2017-01-24T03:59:29.000Z
457,https://issues.oss-fuzz.com/issues/42509640,2017-01-24T17:00:52.000Z
606,https://issues.oss-fuzz.com/issues/42526190,2017-02-18T10:59:49.000Z
744,https://issues.oss-fuzz.com/issues/42538910,2017-03-07T20:59:08.000Z
750,https://issues.oss-fuzz.com/issues/42538977,2017-03-07T23:00:45.000Z
852,https://issues.oss-fuzz.com/issues/42540107,2017-03-13T10:38:30.000Z
1064,https://issues.oss-fuzz.com/issues/42470705,2017-04-08T08:49:27.000Z
1065,https://issues.oss-fuzz.com/issues/42470716,2017-04-08T08:50:09.000Z
1304,https://issues.oss-fuzz.com/issues/42473363,2017-04-29T20:16:15.000Z
1436,https://issues.oss-fuzz.com/issues/42474828,2017-05-09T06:50:09.000Z
1492,https://issues.oss-fuzz.com/issues/42475450,2017-05-10T16:42:36.000Z
1493,https://issues.oss-fuzz.com/issues/42475461,2017-05-10T16:42:47.000Z
1494,https://issues.oss-fuzz.com/issues/42475472,2017-05-10T16:43:17.000Z
1516,https://issues.oss-fuzz.com/issues/42475717,2017-05-11T18:41:56.000Z
1523,https://issues.oss-fuzz.com/issues/42475795,2017-05-12T01:51:50.000Z
1571,https://issues.oss-fuzz.com/issues/42476328,2017-05-14T09:43:10.000Z
2242,https://issues.oss-fuzz.com/issues/42483783,2017-06-14T06:48:49.000Z
2262,https://issues.oss-fuzz.com/issues/42484005,2017-06-15T05:43:08.000Z
2479,https://issues.oss-fuzz.com/issues/42486414,2017-07-05T09:50:08.000Z
2600,https://issues.oss-fuzz.com/issues/42487760,2017-07-13T06:48:28.000Z
3012,https://issues.oss-fuzz.com/issues/42492338,2017-08-11T08:37:18.000Z
3115,https://issues.oss-fuzz.com/issues/42493482,2017-08-22T05:19:35.000Z
3125,https://issues.oss-fuzz.com/issues/42493593,2017-08-23T08:19:19.000Z
3305,https://issues.oss-fuzz.com/issues/42495593,2017-09-06T14:04:04.000Z
3331,https://issues.oss-fuzz.com/issues/42495882,2017-09-08T08:08:11.000Z
3376,https://issues.oss-fuzz.com/issues/42496381,2017-09-14T10:48:55.000Z
3606,https://issues.oss-fuzz.com/issues/42498937,2017-10-11T05:35:52.000Z
3608,https://issues.oss-fuzz.com/issues/42498959,2017-10-11T05:39:06.000Z
3609,https://issues.oss-fuzz.com/issues/42498970,2017-10-11T15:47:31.000Z
3956,https://issues.oss-fuzz.com/issues/42502820,2017-10-31T21:03:19.000Z
4039,https://issues.oss-fuzz.com/issues/42503743,2017-11-03T11:16:12.000Z
4097,https://issues.oss-fuzz.com/issues/42504387,2017-11-07T13:37:38.000Z
4161,https://issues.oss-fuzz.com/issues/42505099,2017-11-10T05:44:13.000Z
4183,https://issues.oss-fuzz.com/issues/42505343,2017-11-12T03:31:19.000Z
4272,https://issues.oss-fuzz.com/issues/42506332,2017-11-17T08:21:19.000Z
4275,https://issues.oss-fuzz.com/issues/42506365,2017-11-17T09:51:17.000Z
4279,https://issues.oss-fuzz.com/issues/42506409,2017-11-17T09:57:59.000Z
4283,https://issues.oss-fuzz.com/issues/42506454,2017-11-17T10:02:27.000Z
4285,https://issues.oss-fuzz.com/issues/42506476,2017-11-17T10:02:49.000Z
