feature,importance,project
age,0.03291341,icu
directories_changed,0.03889731,icu
entropy,0.033962544,icu
exp,0.032939807,icu
files_changed,0.039154947,icu
is_bug_fix,0.029035814,icu
lines_added,0.03702277,icu
lines_deleted,0.030237999,icu
ndev,0.03531573,icu
nuc,0.032344308,icu
patch_coverage_recalculated,0.10826816,icu
project_total_branch_percent,0.03640213,icu
project_total_branch_percent_delta,0.03785983,icu
project_total_function_percent,0.039476197,icu
project_total_function_percent_delta,0.038128186,icu
project_total_instantiation_percent,0.04140911,icu
project_total_instantiation_percent_delta,0.041816853,icu
project_total_line_percent,0.036682744,icu
project_total_line_percent_delta,0.044238172,icu
project_total_region_percent,0.04080098,icu
project_total_region_percent_delta,0.046515975,icu
rexp,0.039246883,icu
sexp,0.03070622,icu
subsystems_changed,0.041223697,icu
total_prev_loc,0.035400245,icu
