feature,importance,project
VCC_f10_nb_added_line,0.015137056,icu
VCC_f11_nb_removed_line,0.016734822,icu
VCC_f12_diff_line,0.014704885,icu
VCC_f13_sum_line,0.016368153,icu
VCC_f14_nb_added_paren,0.017363036,icu
VCC_f15_nb_removed_paren,0.014348674,icu
VCC_f16_diff_paren,0.014904036,icu
VCC_f17_sum_paren,0.017281175,icu
VCC_f18_nb_added_bool,0.019390127,icu
VCC_f19_nb_removed_bool,0.016647294,icu
VCC_f1_sum_file_change,0.013747022,icu
VCC_f20_diff_bool,0.014224471,icu
VCC_f21_sum_bool,0.017028997,icu
VCC_f22_nb_added_assignement,0.021178838,icu
VCC_f23_nb_removed_assignement,0.014996591,icu
VCC_f24_diff_assignement,0.014136017,icu
VCC_f25_sum_assignement,0.021328742,icu
VCC_f26_nb_added_function,0.014578653,icu
VCC_f27_nb_removed_function,0.014151226,icu
VCC_f28_diff_function,0.013483546,icu
VCC_f29_sum_function,0.015025083,icu
VCC_f2_nb_added_loop,0.020327784,icu
VCC_f3_nb_removed_loop,0.015962495,icu
VCC_f4_diff_loop,0.015490993,icu
VCC_f5_sum_loop,0.015901104,icu
VCC_f6_nb_added_if,0.02114993,icu
VCC_f7_nb_removed_if,0.014441092,icu
VCC_f8_diff_if,0.015724825,icu
VCC_f9_sum_if,0.019379087,icu
VCC_s10_nb_removed_INTMAX,0.0005511869,icu
VCC_s11_nb_added_goto,0.02441129,icu
VCC_s12_nb_removed_goto,0.012522931,icu
VCC_s13_nb_added_define,0.014483118,icu
VCC_s14_nb_removed_define,0.013432434,icu
VCC_s15_nb_added_struct,0.014912766,icu
VCC_s16_nb_removed_struct,0.013033515,icu
VCC_s17_diff_struct,0.014157328,icu
VCC_s18_sum_struct,0.015041937,icu
VCC_s19_nb_added_offset,0.015159417,icu
VCC_s1_nb_added_sizeof,0.022598851,icu
VCC_s20_nb_removed_offset,0.014309284,icu
VCC_s21_nb_added_void,0.015074732,icu
VCC_s22_nb_removed_void,0.015911233,icu
VCC_s23_diff_void,0.01385669,icu
VCC_s24_sum_void,0.015020189,icu
VCC_s2_nb_removed_sizeof,0.01539837,icu
VCC_s3_diff_sizeof,0.016766895,icu
VCC_s4_sum_sizeof,0.021038216,icu
VCC_s5_nb_added_continue,0.017077062,icu
VCC_s6_nb_removed_continue,0.013478395,icu
VCC_s7_nb_added_break,0.023154018,icu
VCC_s8_nb_removed_break,0.019197134,icu
VCC_s9_nb_added_INTMAX,0.006701379,icu
VCC_w1,0.014385659,icu
VCC_w10,0.013988482,icu
VCC_w2,0.01533461,icu
VCC_w3,0.0152336825,icu
VCC_w4,0.017838357,icu
VCC_w5,0.014089467,icu
VCC_w6,0.015990382,icu
VCC_w7,0.019713888,icu
VCC_w8,0.016840674,icu
VCC_w9,0.014160673,icu
