feature,importance,project
VCC_f10_nb_added_line,0.014698593,mruby
VCC_f11_nb_removed_line,0.012223474,mruby
VCC_f12_diff_line,0.012550705,mruby
VCC_f13_sum_line,0.012023142,mruby
VCC_f14_nb_added_paren,0.01775125,mruby
VCC_f15_nb_removed_paren,0.011838331,mruby
VCC_f16_diff_paren,0.0142008765,mruby
VCC_f17_sum_paren,0.014706564,mruby
VCC_f18_nb_added_bool,0.014209925,mruby
VCC_f19_nb_removed_bool,0.015483022,mruby
VCC_f1_sum_file_change,0.011272446,mruby
VCC_f20_diff_bool,0.011953249,mruby
VCC_f21_sum_bool,0.015167503,mruby
VCC_f22_nb_added_assignement,0.015285207,mruby
VCC_f23_nb_removed_assignement,0.010955373,mruby
VCC_f24_diff_assignement,0.012640317,mruby
VCC_f25_sum_assignement,0.015349085,mruby
VCC_f26_nb_added_function,0.012078662,mruby
VCC_f27_nb_removed_function,0.011516338,mruby
VCC_f28_diff_function,0.010300593,mruby
VCC_f29_sum_function,0.013368841,mruby
VCC_f2_nb_added_loop,0.01593666,mruby
VCC_f3_nb_removed_loop,0.013105286,mruby
VCC_f4_diff_loop,0.015370473,mruby
VCC_f5_sum_loop,0.0151651325,mruby
VCC_f6_nb_added_if,0.01799285,mruby
VCC_f7_nb_removed_if,0.011211425,mruby
VCC_f8_diff_if,0.015012576,mruby
VCC_f9_sum_if,0.015391977,mruby
VCC_s10_nb_removed_INTMAX,0.0,mruby
VCC_s11_nb_added_goto,0.015246909,mruby
VCC_s12_nb_removed_goto,0.010071703,mruby
VCC_s13_nb_added_define,0.01103008,mruby
VCC_s14_nb_removed_define,0.0105976,mruby
VCC_s15_nb_added_struct,0.010764433,mruby
VCC_s16_nb_removed_struct,0.008482524,mruby
VCC_s17_diff_struct,0.011461806,mruby
VCC_s18_sum_struct,0.011667765,mruby
VCC_s19_nb_added_offset,0.012208513,mruby
VCC_s1_nb_added_sizeof,0.018827165,mruby
VCC_s20_nb_removed_offset,0.01012818,mruby
VCC_s21_nb_added_void,0.012281557,mruby
VCC_s22_nb_removed_void,0.012478307,mruby
VCC_s23_diff_void,0.011566838,mruby
VCC_s24_sum_void,0.014007703,mruby
VCC_s2_nb_removed_sizeof,0.011421474,mruby
VCC_s3_diff_sizeof,0.013407413,mruby
VCC_s4_sum_sizeof,0.019157274,mruby
VCC_s5_nb_added_continue,0.013587607,mruby
VCC_s6_nb_removed_continue,0.012257912,mruby
VCC_s7_nb_added_break,0.015974345,mruby
VCC_s8_nb_removed_break,0.012057961,mruby
VCC_s9_nb_added_INTMAX,0.0015108752,mruby
VCC_w1,0.010979873,mruby
VCC_w10,0.011423415,mruby
VCC_w2,0.010378009,mruby
VCC_w3,0.011569583,mruby
VCC_w4,0.01120937,mruby
VCC_w5,0.013383641,mruby
VCC_w6,0.011611881,mruby
VCC_w7,0.0138633745,mruby
VCC_w8,0.012895872,mruby
VCC_w9,0.011315629,mruby
patch_coverage_recalculated,0.045679186,mruby
project_total_branch_percent,0.012027674,mruby
project_total_branch_percent_delta,0.015029545,mruby
project_total_function_percent,0.015559626,mruby
project_total_function_percent_delta,0.013141113,mruby
project_total_instantiation_percent,0.01692412,mruby
project_total_instantiation_percent_delta,0.017538615,mruby
project_total_line_percent,0.014510748,mruby
project_total_line_percent_delta,0.017487219,mruby
project_total_region_percent,0.015767133,mruby
project_total_region_percent_delta,0.018748555,mruby
