project,builds_per_day
spirv-tools,1
xvid,1
libunwind,1
wazuh,1
open-json,1
apache-felix-dev,1
gprof2dot,1
libhevc,1
easywsclient,1
lark-parser,1
prost,1
redux,1
fftw3,1
jackson-datatype-joda,1
envoy,1
espeak-ng,1
reload4j,1
rocksdb,1
hwloc,1
crossplane,1
pathlib2,1
libiec61850,1
struts,1
tensorflow-serving,1
nccl,1
uriparser,1
apache-commons-jxpath,1
firestore,1
uritemplate,1
rhai,1
unicode-rs,1
more-itertools,1
kamailio,1
g-api-resumable-media-python,1
pyjson5,1
botan,1
caffeine,1
edk2,1
python-future,1
libbpf,4
libspdm,1
pydateutil,1
libsoup,1
libvips,1
example,1
spdm-rs,1
bleach,1
flask-restx,1
bloaty,1
opencsv,1
rdf4j,1
java-diff-utils,1
libreoffice,2
cosmos-sdk,1
rhino,1
calcite,1
retrofit,1
twitter4j,1
trust-dns,1
pdfbox,1
python-markdownify,1
utf8parse,1
nginx,1
apache-doris,1
sharp,1
typst,1
w3m,1
fmt,1
sigstore-go,1
json2avro,1
apache-commons-io,1
libfdk-aac,1
apache-commons-compress,1
ipfs,1
coturn,1
smart_open,1
libarchive,1
astro-compiler,1
gson,1
arrow-py,1
haproxy,1
yajl-ruby,1
mruby,1
libjxl,1
harfbuzz,1
gdal,1
nfstream,1
wasm3,1
c-blosc,1
poco,1
karchive,1
hiredis-py,1
d3,1
protobuf-js,1
readstat,1
python-tabulate,1
asttokens,1
protobuf-c,1
tokio,1
pyvex,1
opus,1
packaging,1
grpc-gateway,1
libical,1
tmux,1
hoextdown,1
face,1
python-jose,1
aniso8601,1
tink-cc,1
jersey,1
tensorflow-addons,1
undertow,1
jooq,1
wasmer,1
dgraph,1
ada-url,1
itoa,1
open5gs,1
icu,1
jackson-dataformats-binary,1
openh264,1
g-py-crc32c,1
oatpp,1
snort3,1
nats,1
asteval,1
configparser,1
libpcap,1
netty,1
avro,1
digest,1
checkstyle,1
libpng-proto,1
go-sftp,1
g-apis-py-api-core,1
miniz,1
argcomplete,1
keras,1
cxxopts,1
skia,4
qpid-proton,1
g-auth-library-java,1
spdk,1
go-coredns,1
pyxdg,1
opensc,1
wireshark,1
pem,1
curvesapi,1
nodejs,1
oak,1
sqlalchemy-utils,1
angus-mail,1
python-markdown,1
pcapplusplus,1
libavc,1
duckdb,1
libfido2,1
jackson-core,1
