strategy,project,date,scheduled_additional_builds
strategy1_median,arrow,2021-08-25 00:00:00+00:00,6
strategy1_median,arrow,2021-08-26 00:00:00+00:00,6
strategy1_median,arrow,2021-09-01 00:00:00+00:00,6
strategy1_median,arrow,2021-09-03 00:00:00+00:00,6
strategy1_median,arrow,2021-09-18 00:00:00+00:00,6
strategy1_median,arrow,2021-09-19 00:00:00+00:00,6
strategy1_median,arrow,2021-09-30 00:00:00+00:00,6
strategy1_median,arrow,2021-10-01 00:00:00+00:00,6
strategy1_median,arrow,2021-11-06 00:00:00+00:00,6
strategy1_median,arrow,2021-11-07 00:00:00+00:00,6
strategy1_median,arrow,2021-11-10 00:00:00+00:00,6
strategy1_median,arrow,2021-11-11 00:00:00+00:00,6
strategy1_median,arrow,2021-11-19 00:00:00+00:00,6
strategy1_median,arrow,2021-12-02 00:00:00+00:00,6
strategy1_median,arrow,2021-12-04 00:00:00+00:00,6
strategy1_median,arrow,2021-12-10 00:00:00+00:00,6
strategy1_median,arrow,2021-12-12 00:00:00+00:00,6
strategy1_median,arrow,2022-01-06 00:00:00+00:00,6
strategy1_median,arrow,2022-01-12 00:00:00+00:00,6
strategy1_median,arrow,2022-01-15 00:00:00+00:00,6
strategy1_median,arrow,2022-02-05 00:00:00+00:00,6
strategy1_median,arrow,2022-02-13 00:00:00+00:00,6
strategy1_median,arrow,2022-02-18 00:00:00+00:00,6
strategy1_median,arrow,2022-02-26 00:00:00+00:00,6
strategy1_median,arrow,2022-03-06 00:00:00+00:00,6
strategy1_median,arrow,2022-03-13 00:00:00+00:00,6
strategy1_median,arrow,2022-03-17 00:00:00+00:00,6
strategy1_median,arrow,2022-03-26 00:00:00+00:00,6
strategy1_median,arrow,2022-04-01 00:00:00+00:00,6
strategy1_median,arrow,2022-04-09 00:00:00+00:00,6
strategy1_median,arrow,2022-04-23 00:00:00+00:00,6
strategy1_median,arrow,2022-04-29 00:00:00+00:00,6
strategy1_median,arrow,2022-05-05 00:00:00+00:00,6
strategy1_median,arrow,2022-05-06 00:00:00+00:00,6
strategy1_median,arrow,2022-06-03 00:00:00+00:00,6
strategy1_median,arrow,2022-06-11 00:00:00+00:00,6
strategy1_median,arrow,2022-06-15 00:00:00+00:00,6
strategy1_median,arrow,2022-06-23 00:00:00+00:00,6
strategy1_median,arrow,2022-06-29 00:00:00+00:00,6
strategy1_median,arrow,2022-07-10 00:00:00+00:00,6
strategy1_median,arrow,2022-07-15 00:00:00+00:00,6
strategy1_median,arrow,2022-07-22 00:00:00+00:00,6
strategy1_median,arrow,2022-08-11 00:00:00+00:00,6
strategy1_median,arrow,2022-08-14 00:00:00+00:00,6
strategy1_median,arrow,2022-09-10 00:00:00+00:00,6
strategy1_median,arrow,2022-09-18 00:00:00+00:00,6
strategy1_median,arrow,2022-11-04 00:00:00+00:00,6
strategy1_median,arrow,2022-11-17 00:00:00+00:00,6
strategy1_median,arrow,2022-12-16 00:00:00+00:00,6
