project,merge_date,day_index,builds_per_day,build_index_start,build_index_end,cumulative_builds,daily_commit_count
c-blosc2,2021-04-16,124,1,124,124,124,12
c-blosc2,2021-04-23,125,1,125,125,125,
c-blosc2,2021-04-26,126,1,126,126,126,
c-blosc2,2021-04-30,127,1,127,127,127,
c-blosc2,2021-05-01,128,1,128,128,128,19
c-blosc2,2021-05-05,129,1,129,129,129,
c-blosc2,2021-05-06,130,1,130,130,130,2
c-blosc2,2021-05-07,131,1,131,131,131,2
c-blosc2,2021-05-08,132,1,132,132,132,13
c-blosc2,2021-05-11,133,1,133,133,133,
c-blosc2,2021-05-12,134,1,134,134,134,3
c-blosc2,2021-05-13,135,1,135,135,135,1
c-blosc2,2021-05-15,136,1,136,136,136,
c-blosc2,2021-05-17,137,1,137,137,137,
c-blosc2,2021-05-18,138,1,138,138,138,3
c-blosc2,2021-05-19,139,1,139,139,139,2
c-blosc2,2021-05-20,140,1,140,140,140,2
c-blosc2,2021-05-21,141,1,141,141,141,7
c-blosc2,2021-05-22,142,1,142,142,142,6
c-blosc2,2021-05-23,143,1,143,143,143,6
c-blosc2,2021-05-24,144,1,144,144,144,1
c-blosc2,2021-05-25,145,1,145,145,145,3
c-blosc2,2021-05-26,146,1,146,146,146,2
c-blosc2,2021-05-27,147,1,147,147,147,2
c-blosc2,2021-05-28,148,1,148,148,148,4
c-blosc2,2021-05-29,149,1,149,149,149,1
c-blosc2,2021-05-30,150,1,150,150,150,2
c-blosc2,2021-06-01,151,1,151,151,151,
c-blosc2,2021-06-04,152,1,152,152,152,
c-blosc2,2021-06-09,153,1,153,153,153,
c-blosc2,2021-06-10,154,1,154,154,154,3
c-blosc2,2021-06-14,155,1,155,155,155,
c-blosc2,2021-06-15,156,1,156,156,156,1
c-blosc2,2021-06-16,157,1,157,157,157,56
c-blosc2,2021-06-17,158,1,158,158,158,1
c-blosc2,2021-06-18,159,1,159,159,159,4
c-blosc2,2021-06-22,160,1,160,160,160,
c-blosc2,2021-06-23,161,1,161,161,161,8
c-blosc2,2021-06-24,162,1,162,162,162,5
c-blosc2,2021-06-29,163,1,163,163,163,
c-blosc2,2021-06-30,164,1,164,164,164,10
c-blosc2,2021-07-01,165,1,165,165,165,3
c-blosc2,2021-07-02,166,1,166,166,166,2
c-blosc2,2021-07-03,167,1,167,167,167,4
c-blosc2,2021-07-09,168,1,168,168,168,
c-blosc2,2021-07-11,169,1,169,169,169,
c-blosc2,2021-07-20,170,1,170,170,170,
c-blosc2,2021-07-22,171,1,171,171,171,
c-blosc2,2021-07-23,172,1,172,172,172,2
c-blosc2,2021-07-24,173,1,173,173,173,3
c-blosc2,2021-07-28,174,1,174,174,174,
c-blosc2,2021-07-30,175,1,175,175,175,
c-blosc2,2021-07-31,176,1,176,176,176,3
c-blosc2,2021-08-14,177,1,177,177,177,
c-blosc2,2021-08-24,178,1,178,178,178,
c-blosc2,2021-09-01,179,1,179,179,179,
c-blosc2,2021-09-08,180,1,180,180,180,
c-blosc2,2021-09-09,181,1,181,181,181,1
c-blosc2,2021-09-18,182,1,182,182,182,
c-blosc2,2021-09-24,183,1,183,183,183,
c-blosc2,2021-09-25,184,1,184,184,184,2
c-blosc2,2021-09-28,185,1,185,185,185,
c-blosc2,2021-09-29,186,1,186,186,186,2
c-blosc2,2021-09-30,187,1,187,187,187,3
c-blosc2,2021-10-01,188,1,188,188,188,1
c-blosc2,2021-10-03,189,1,189,189,189,
c-blosc2,2021-10-12,190,1,190,190,190,
c-blosc2,2021-11-06,191,1,191,191,191,
c-blosc2,2021-12-03,192,1,192,192,192,
c-blosc2,2021-12-04,193,1,193,193,193,3
c-blosc2,2021-12-11,194,1,194,194,194,
c-blosc2,2022-01-15,195,1,195,195,195,
c-blosc2,2022-01-22,196,1,196,196,196,
c-blosc2,2022-02-07,197,1,197,197,197,
c-blosc2,2022-02-15,198,1,198,198,198,
c-blosc2,2022-02-16,199,1,199,199,199,4
c-blosc2,2022-02-17,200,1,200,200,200,3
c-blosc2,2022-02-18,201,1,201,201,201,2
c-blosc2,2022-02-19,202,1,202,202,202,3
c-blosc2,2022-02-20,203,1,203,203,203,1
c-blosc2,2022-03-03,204,1,204,204,204,
c-blosc2,2022-03-05,205,1,205,205,205,
c-blosc2,2022-03-07,206,1,206,206,206,
c-blosc2,2022-03-23,207,1,207,207,207,
c-blosc2,2022-03-24,208,1,208,208,208,3
c-blosc2,2022-03-31,209,1,209,209,209,
c-blosc2,2022-04-06,210,1,210,210,210,
c-blosc2,2022-04-07,211,1,211,211,211,4
c-blosc2,2022-04-08,212,1,212,212,212,1
c-blosc2,2022-04-10,213,1,213,213,213,
c-blosc2,2022-04-13,214,1,214,214,214,
c-blosc2,2022-04-14,215,1,215,215,215,2
c-blosc2,2022-05-08,216,1,216,216,216,
c-blosc2,2022-05-10,217,1,217,217,217,
c-blosc2,2022-05-12,218,1,218,218,218,
c-blosc2,2022-05-17,219,1,219,219,219,
c-blosc2,2022-05-25,220,1,220,220,220,
c-blosc2,2022-05-26,221,1,221,221,221,1
c-blosc2,2022-05-28,222,1,222,222,222,
c-blosc2,2022-06-01,223,1,223,223,223,
c-blosc2,2022-06-04,224,1,224,224,224,
c-blosc2,2022-06-07,225,1,225,225,225,
c-blosc2,2022-06-11,226,1,226,226,226,
c-blosc2,2022-06-15,227,1,227,227,227,
c-blosc2,2022-06-18,228,1,228,228,228,
c-blosc2,2022-06-20,229,1,229,229,229,
c-blosc2,2022-06-21,230,1,230,230,230,1
c-blosc2,2022-06-29,231,1,231,231,231,
c-blosc2,2022-07-01,232,1,232,232,232,
c-blosc2,2022-07-06,233,1,233,233,233,
c-blosc2,2022-07-07,234,1,234,234,234,13
c-blosc2,2022-07-15,235,1,235,235,235,
c-blosc2,2022-07-17,236,1,236,236,236,
c-blosc2,2022-08-19,237,1,237,237,237,
c-blosc2,2022-08-21,238,1,238,238,238,
c-blosc2,2022-08-22,239,1,239,239,239,3
c-blosc2,2022-08-23,240,1,240,240,240,1
c-blosc2,2022-08-25,241,1,241,241,241,
c-blosc2,2022-09-03,242,1,242,242,242,
c-blosc2,2022-09-05,243,1,243,243,243,
c-blosc2,2022-09-07,244,1,244,244,244,
c-blosc2,2022-09-09,245,1,245,245,245,
c-blosc2,2022-09-10,246,1,246,246,246,1
c-blosc2,2022-09-13,247,1,247,247,247,
c-blosc2,2022-09-15,248,1,248,248,248,
c-blosc2,2022-09-17,249,1,249,249,249,
