strategy,project,date,scheduled_additional_builds
strategy1_median,arrow,2022-04-14 00:00:00+00:00,2
strategy1_median,arrow,2022-04-20 00:00:00+00:00,2
strategy1_median,arrow,2022-04-22 00:00:00+00:00,2
strategy1_median,arrow,2022-04-23 00:00:00+00:00,2
strategy1_median,arrow,2022-04-25 00:00:00+00:00,2
strategy1_median,arrow,2022-05-18 00:00:00+00:00,2
strategy1_median,arrow,2022-05-31 00:00:00+00:00,2
strategy1_median,arrow,2022-06-02 00:00:00+00:00,2
strategy1_median,arrow,2022-06-10 00:00:00+00:00,2
strategy1_median,arrow,2022-06-13 00:00:00+00:00,2
strategy1_median,arrow,2022-06-14 00:00:00+00:00,2
strategy1_median,arrow,2022-06-15 00:00:00+00:00,2
strategy1_median,arrow,2022-06-16 00:00:00+00:00,2
strategy1_median,arrow,2022-06-21 00:00:00+00:00,2
strategy1_median,arrow,2022-06-24 00:00:00+00:00,2
strategy1_median,arrow,2022-07-06 00:00:00+00:00,2
strategy1_median,arrow,2022-07-08 00:00:00+00:00,2
strategy1_median,arrow,2022-07-12 00:00:00+00:00,2
strategy1_median,arrow,2022-07-13 00:00:00+00:00,2
strategy1_median,arrow,2022-07-19 00:00:00+00:00,2
strategy1_median,arrow,2022-07-22 00:00:00+00:00,2
strategy1_median,arrow,2022-08-09 00:00:00+00:00,2
strategy1_median,arrow,2022-08-10 00:00:00+00:00,2
strategy1_median,arrow,2022-08-18 00:00:00+00:00,2
strategy1_median,arrow,2022-09-02 00:00:00+00:00,2
strategy1_median,arrow,2022-09-08 00:00:00+00:00,2
strategy1_median,arrow,2022-09-15 00:00:00+00:00,2
strategy1_median,arrow,2022-09-16 00:00:00+00:00,2
strategy1_median,arrow,2022-09-21 00:00:00+00:00,2
strategy1_median,arrow,2022-10-03 00:00:00+00:00,2
strategy1_median,arrow,2022-10-12 00:00:00+00:00,2
strategy1_median,arrow,2022-10-26 00:00:00+00:00,2
strategy1_median,arrow,2022-11-01 00:00:00+00:00,2
strategy1_median,arrow,2022-11-09 00:00:00+00:00,2
strategy1_median,arrow,2022-11-10 00:00:00+00:00,2
strategy1_median,arrow,2022-11-23 00:00:00+00:00,2
strategy1_median,arrow,2022-12-08 00:00:00+00:00,2
strategy1_median,arrow,2022-12-13 00:00:00+00:00,2
strategy1_median,arrow,2022-12-14 00:00:00+00:00,2
